baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610005C13Rik	1.46246502966221	2.274192203219	2.53054226448886	0.898697577642853	0.368813767638238	1
0610007P14Rik	693.014306575172	-0.139966484482744	0.128930319544858	-1.08559790262559	0.277656928123792	0.571419912435466
0610009B22Rik	190.698800683799	-0.0599747015419187	0.217339634124273	-0.275949215538045	0.782587072335159	1
0610009L18Rik	19.0386378537281	0.099033275859884	0.652581139705919	0.151756264216451	0.879379178603252	1
0610009O20Rik	418.280391694767	0.126161004260091	0.153910202738654	0.819705269794994	0.412384145122721	0.628893690336304
0610010B08Rik	435.392741440608	0.58579956622039	0.529359329044618	1.10661989706998	0.268458301061875	0.543842729225776
0610010F05Rik	621.542770450531	0.0530811805961887	0.13393765779775	0.396312594000582	0.691874437594664	0.964014942718708
0610010K14Rik	445.786741754082	0.221388520434548	0.1572260973913	1.40809015874484	0.159104374756917	0.419109130086938
0610011F06Rik	54.6260745895209	-0.433210404927859	0.393752585855967	-1.10020967604852	0.271240775660772	0.988154935708537
0610012G03Rik	391.441529590654	0.134391631239396	0.171952521298164	0.781562434937272	0.434471770793687	0.647302481059178
0610030E20Rik	439.092340254849	-0.012819581401007	0.150924281393198	-0.0849404832851817	0.932308707059271	1
0610031O16Rik	0	NA	NA	NA	NA	NA
0610037L13Rik	472.885198946584	0.286334980275469	0.158907050768218	1.80190230006293	0.0715607782988347	0.277361622953662
0610038B21Rik	20.183518540133	0.349050398048651	0.630427044041726	0.553672944946741	0.579802694292069	1
0610039H22Rik	0.252007612252883	1.41940173558917	4.99251556649301	0.284305920869913	0.776175949088643	1
0610039K10Rik	2.96774152343553	-0.525244915727896	1.61245547464683	-0.32574227566993	0.744619355833266	1
0610040B10Rik	5.66505880383897	-0.164855005977291	1.19644223377955	-0.137787685291345	0.890408217236068	1
0610040F04Rik	0.516453652732269	-0.0628342286344587	4.04447518818043	-0.0155358175562766	0.987604709658977	1
0610040J01Rik	1.50123159771717	-0.0764820219934361	2.21660245951512	-0.0345041672516084	0.972475119342284	1
0610043K17Rik	3.23912981270983	-0.326402353594758	1.70584820481733	-0.191343141009261	0.848256763797728	1
1010001N08Rik	16.1534659356026	0.927952696241678	0.721346233480309	1.28641788529836	0.198297259769183	1
1110001J03Rik	109.510295419492	0.532431036866612	0.279277184900513	1.90646091286075	0.0565904322750301	0.363810415867043
1110002L01Rik	226.304643902641	-0.744653178439915	0.222434044502526	-3.34774822849323	0.00081470989562474	0.0113940890257235
1110004E09Rik	262.63877140625	0.208513651895877	0.188329194775333	1.10717646376932	0.268217641367769	0.630260870303833
1110004F10Rik	1596.73777514696	-0.326577931328007	0.104917042809393	-3.11272527878348	0.00185368480067812	0.0135876647726824
1110006O24Rik	12.1560658115553	0.351285845738465	0.813955519596682	0.431578676329302	0.666047659251569	1
1110007C09Rik	273.178870073129	-0.386575153818953	0.194435905425041	-1.98818810226379	0.0467908903377523	0.258313541423641
1110008F13Rik	1970.18923563224	0.0984196224894627	0.0950373515752322	1.03558885909771	0.300393991704021	0.441499729684711
1110008L16Rik	169.456901407902	-0.302692673774145	0.227597443436012	-1.32994760048456	0.183535536464681	0.69949753904955
1110008P14Rik	124.216932161879	-0.1157534103327	0.288259408746638	-0.401559868716862	0.688007969456639	1
1110012L19Rik	222.074430642909	0.3272534161956	0.212410499453534	1.54066497201184	0.123398346100086	0.388697747542212
1110015O18Rik	0	NA	NA	NA	NA	NA
1110017D15Rik	0.952471602603752	3.353650261416	3.34114616321745	1.00374245770395	0.315502766490263	1
1110019D14Rik	33.9795771804056	-0.139960140506464	0.483980331867289	-0.289185595551933	0.772439354249069	1
1110020A21Rik	1.52901102092106	-0.0368373537633892	2.34806479800643	-0.0156883889212364	0.987482990157296	1
1110025L11Rik	0	NA	NA	NA	NA	NA
1110028F11Rik	0.238117900650938	1.37813246224105	4.9954112895467	0.275879678841441	0.782640482382354	1
1110028F18Rik	0	NA	NA	NA	NA	NA
1110032A03Rik	85.8390322445568	-0.207162571313517	0.322315188034398	-0.642732886951044	0.520397437630578	1
1110032F04Rik	1.49332008866792	-1.08009752461603	2.36130849351091	-0.457414830626424	0.64737290655717	1
1110034G24Rik	49.7945132402244	0.31288203752807	0.412973464525859	0.757632304262682	0.448671135517497	1
1110036E04Rik	0	NA	NA	NA	NA	NA
1110037F02Rik	1912.96805233493	0.0266856869460333	0.106092811471242	0.251531527687593	0.801403189954476	0.764500116362237
1110038B12Rik	730.664827668256	0.41603289645177	0.130329578829113	3.19216021558136	0.00141212980689712	0.0136786145790519
1110038F14Rik	381.674157765924	0.455899986711947	0.165789455808521	2.74987323221863	0.00596183241350478	0.0430789951300752
1110046J04Rik	113.809459854975	-0.069230999393489	0.280953926235653	-0.246414066253058	0.80536171858995	1
1110051M20Rik	235.581138859348	0.194620256122585	0.203640601407848	0.955704583354685	0.339221506251655	0.741443546311629
1110058D11Rik	1.01255736818879	-0.0229368641790539	2.80719884768285	-0.00817073012052091	0.993480773124597	1
1110059E24Rik	449.076146994881	0.0153364140489427	0.150267602807034	0.102060682159394	0.918708509088971	1
1110059G10Rik	196.686918946577	-0.0480892783579627	0.217187407763646	-0.221418354098576	0.824766702563649	1
1110065P20Rik	286.830862169198	0.305858731974569	0.184637446610815	1.65653683794311	0.0976131513607155	0.373477303708653
1190002F15Rik	108.974591760745	0.717549216892888	0.284434483922312	2.52272230496803	0.0116450319586423	0.127407086135107
1190002N15Rik	926.877563589514	-0.0175291252931967	0.122855183078161	-0.142681202811318	0.886541962795016	1
1190003K10Rik	0	NA	NA	NA	NA	NA
1190005I06Rik	0.252007612252883	1.41940173558917	4.99251556649301	0.284305920869913	0.776175949088643	1
1190007I07Rik	31.6320474415353	-0.340026093498636	0.508473882038881	-0.668718896898297	0.50367481083085	1
1200014J11Rik	856.268231006878	0.0659673426920879	0.124230173370677	0.531009020612529	0.59541252818565	1
1300002E11Rik	91.0856905518235	0.426601971212305	0.302519090713176	1.41016545503495	0.158490833537604	0.740355359956866
1300017J02Rik	1.21836892645858	3.70529282665533	2.79174801249489	1.32723039832812	0.184432479656736	1
1500004A13Rik	64.4906738446245	-0.0427360333528887	0.356341670562809	-0.119929934900375	0.904538650991114	1
1500009C09Rik	0	NA	NA	NA	NA	NA
1500009L16Rik	19.5197095282774	0.472549090342062	0.654835910132072	0.721629774773279	0.470522128082521	1
1500011B03Rik	121.190785735929	0.431571842855695	0.264282436115391	1.63299479601915	0.102470091162758	0.515195530850223
1500011K16Rik	172.356991036264	0.423089323553174	0.228608656258273	1.8507143626057	0.064210656702257	0.3922903050658
1500012F01Rik	818.198589546728	0.557545137724764	0.122197485782008	4.56265637673912	5.05104464851976e-06	0.000144900681233652
1500012K07Rik	0	NA	NA	NA	NA	NA
1500015A07Rik	40.4268086777686	0.122527860668128	0.44612441100948	0.274649531934096	0.783585508122801	1
1500015L24Rik	0.264446040479386	-1.53683365122091	4.99051716513345	-0.307950779522029	0.758119785607202	1
1500015O10Rik	7.3843673190015	1.20456024489786	1.12083185233399	1.07470201028773	0.282508163437239	1
1500017E21Rik	4.43684506183459	-2.36752393805013	1.56547870139525	-1.51233225718118	0.130449358887866	1
1500026H17Rik	1.01110608481334	-1.66278104964352	2.89411619834064	-0.574538455158396	0.565603485760078	1
1600002D24Rik	0	NA	NA	NA	NA	NA
1600002H07Rik	191.673935658331	0.126492639230857	0.214995743023696	0.588349506143086	0.556297722599068	1
1600002K03Rik	142.582655317924	0.464155358545306	0.247267262421665	1.87714036221172	0.0604988587246529	0.396046706068547
1600010M07Rik	2.70329548295614	-0.292640538495156	1.71002288105961	-0.171132527954142	0.86411955952202	1
1600012H06Rik	814.620165499341	-0.00175351244366076	0.122332838376812	-0.0143339471799023	0.988563556476973	1
1600014C10Rik	516.380318757637	0.259212222914856	0.144911288273253	1.78876487817892	0.0736526894553543	0.25132083862306
1600014C23Rik	0.772988184162407	-3.09751314285434	3.33349110069189	-0.929209963155871	0.352780285096692	1
1600014K23Rik	0	NA	NA	NA	NA	NA
1600015I10Rik	0	NA	NA	NA	NA	NA
1600019K03Rik	0.238117900650938	1.37813246224105	4.9954112895467	0.275879678841441	0.782640482382354	1
1600020E01Rik	28.071413846507	0.653938141615469	0.535095827267773	1.22209538608161	0.221671557724451	1
1600023N17Rik	1.73143798931886	-0.497711425962873	2.19752693351892	-0.226487065241964	0.820822618324177	1
1600025M17Rik	0	NA	NA	NA	NA	NA
1600027J07Rik	0.742133125156704	2.9871163802957	3.38225893815995	0.883171996855091	0.377143349143004	1
1600029I14Rik	0	NA	NA	NA	NA	NA
1600029O15Rik	0.238117900650938	1.37813246224105	4.9954112895467	0.275879678841441	0.782640482382354	1
1700001C02Rik	0.264446040479386	-1.53683365122091	4.99051716513345	-0.307950779522029	0.758119785607202	1
1700001C19Rik	0.760549755935904	-1.03407066382244	3.22065456534995	-0.321074689272081	0.748153790698059	1
1700001D01Rik	0	NA	NA	NA	NA	NA
1700001F09Rik	0	NA	NA	NA	NA	NA
1700001G01Rik	0	NA	NA	NA	NA	NA
1700001G11Rik	3.92860665820963	1.05629045921897	1.47216188887039	0.717509716291785	0.473059643333893	1
1700001G17Rik	2.28019798443227	-1.86723491886791	1.92755074510375	-0.968708566356009	0.332690617259458	1
1700001J03Rik	0	NA	NA	NA	NA	NA
1700001J11Rik	0.476235801301876	2.35385819668537	4.40287418676359	0.534618546167365	0.592913656427731	1
1700001K19Rik	3.43945040556015	0.814966393215304	1.52800478804565	0.533353298099059	0.593789039511457	1
1700001K23Rik	0	NA	NA	NA	NA	NA
1700001L05Rik	40.1239526353604	-0.279912437085457	0.449572286334492	-0.622619422045949	0.533534645067087	1
1700001L19Rik	1.01901759386259	-0.0951151466799863	2.80108566986203	-0.0339565289642396	0.972911815554139	1
1700001O22Rik	5.68281512843402	0.861560201778928	1.17925799860466	0.73059517323466	0.465026461135178	1
1700001P01Rik	0.252007612252883	1.41940173558917	4.99251556649301	0.284305920869913	0.776175949088643	1
1700003C15Rik	0	NA	NA	NA	NA	NA
1700003D09Rik	0	NA	NA	NA	NA	NA
1700003E16Rik	16.0434258611589	0.777837973126696	0.743275881046339	1.04649968196426	0.29533039168559	1
1700003E24Rik	0.252007612252883	1.41940173558917	4.99251556649301	0.284305920869913	0.776175949088643	1
1700003F12Rik	43.4648172633069	0.756211447479481	0.45492855357155	1.66226419850463	0.0964598128449659	0.482996350198576
1700003G13Rik	0	NA	NA	NA	NA	NA
1700003G18Rik	0	NA	NA	NA	NA	NA
1700003H04Rik	0	NA	NA	NA	NA	NA
1700003I22Rik	0	NA	NA	NA	NA	NA
1700003L19Rik	0	NA	NA	NA	NA	NA
1700003M02Rik	0.252007612252883	1.41940173558917	4.99251556649301	0.284305920869913	0.776175949088643	1
1700003M07Rik	4.43359114296973	1.34984220652535	1.38269166394714	0.976242384127768	0.328944364165568	1
1700003P14Rik	0	NA	NA	NA	NA	NA
1700006A11Rik	0	NA	NA	NA	NA	NA
1700006E09Rik	0	NA	NA	NA	NA	NA
1700006F04Rik	0	NA	NA	NA	NA	NA
1700006H21Rik	0	NA	NA	NA	NA	NA
1700007B14Rik	0.746660044333959	-1.0631289184924	3.24018875544957	-0.328107094595756	0.74283068996092	1
1700007F19Rik	0	NA	NA	NA	NA	NA
1700007G11Rik	0.504015224505766	2.42614212029178	4.30370735524599	0.563733060830552	0.572935813926094	1
1700007J10Rik	3.24655929863797	-0.291168539320589	1.53369530855734	-0.189847708143851	0.849428469973713	1
1700007K09Rik	2.00977374140019	-0.807817526786474	1.94697092424164	-0.414909907861683	0.678207856478409	1
1700007K13Rik	4.95149607907744	1.56436038438334	1.34264437143057	1.1651338341489	0.243964823256711	1
1700007L15Rik	15.0150454748716	0.63049128090987	0.74601566746906	0.845144825240576	0.398029983614193	1
1700007P06Rik	0.264446040479386	-1.53683365122091	4.99051716513345	-0.307950779522029	0.758119785607202	1
1700008C04Rik	0	NA	NA	NA	NA	NA
1700008J07Rik	37.2747806035582	0.314376275928725	0.496082942421411	0.63371716510597	0.526265420689124	1
1700008K24Rik	0	NA	NA	NA	NA	NA
1700008O03Rik	3.00536576218522	0.963358034561167	1.63807227600548	0.588104718376874	0.556462006273001	1
1700008P02Rik	0	NA	NA	NA	NA	NA
1700009C05Rik	0	NA	NA	NA	NA	NA
1700009J07Rik	0.238117900650938	1.37813246224105	4.9954112895467	0.275879678841441	0.782640482382354	1
1700009N14Rik	30.7167128405481	-0.261318633266143	0.508024926129862	-0.514381519144878	0.606985277551305	1
1700010B08Rik	0.264446040479386	-1.53683365122091	4.99051716513345	-0.307950779522029	0.758119785607202	1
1700010D01Rik	0	NA	NA	NA	NA	NA
1700010I02Rik	0	NA	NA	NA	NA	NA
1700010I14Rik	32.2722302843606	-0.610841153411123	0.504574495081536	-1.21060648004496	0.226046259560063	0.886290944129319
1700010J16Rik	0	NA	NA	NA	NA	NA
1700010K23Rik	0.252007612252883	1.41940173558917	4.99251556649301	0.284305920869913	0.776175949088643	1
1700011A15Rik	1.49477137204336	-0.0292563750419935	2.21949286576211	-0.0131815584962233	0.989482942551988	1
1700011B04Rik	0	NA	NA	NA	NA	NA
1700011C11Rik	0	NA	NA	NA	NA	NA
1700011E24Rik	0.244096103203635	-1.47853419868463	4.99456067351147	-0.296028879281815	0.767208026804534	1
1700011H14Rik	0	NA	NA	NA	NA	NA
1700011I03Rik	0	NA	NA	NA	NA	NA
1700011L22Rik	0	NA	NA	NA	NA	NA
1700011M02Rik	0	NA	NA	NA	NA	NA
1700012A03Rik	0	NA	NA	NA	NA	NA
1700012B07Rik	0.496103715456518	-0.0121234807415845	4.10286895548325	-0.00295487885992122	0.99764235120952	1
1700012B09Rik	0.238117900650938	1.37813246224105	4.9954112895467	0.275879678841441	0.782640482382354	1
1700012C14Rik	0	NA	NA	NA	NA	NA
1700012D01Rik	8.44716042321741	0.458673494942361	0.959143458205359	0.47821156576575	0.632499631442526	1
1700012D14Rik	1.97698537589793	-0.0318939131060532	1.94701947569835	-0.0163808906403535	0.986930524764985	1
1700012D16Rik	0	NA	NA	NA	NA	NA
1700012H19Rik	0	NA	NA	NA	NA	NA
1700012I11Rik	0	NA	NA	NA	NA	NA
1700012L04Rik	0	NA	NA	NA	NA	NA
1700012P22Rik	0	NA	NA	NA	NA	NA
1700013D24Rik	0	NA	NA	NA	NA	NA
1700013F07Rik	0.252007612252883	1.41940173558917	4.99251556649301	0.284305920869913	0.776175949088643	1
1700013G24Rik	0	NA	NA	NA	NA	NA
