	Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
NM_130786	166.42	128.65	101.85	317.56	220.06	234.71
NR_015380	82.61	82.91	37.1	175.27	127.46	138.38
NM_001198818	0	0	0	0	0	0
NM_001198819	0	0	0	0	0	0
NM_001198820	0	0	0	0	0	0
NM_014576	0	0	0	1	0	0
NM_138932	0	0	0	0	0	0
NM_138933	0	0	0	0	0	0
NM_000014	5	8	5	0	9	5
NR_026971	0	0	0	0	0	0
NM_001282424	1	0	0	1	1	0
NM_144670	0	0	0	0	0	0
NR_040112	0	0	0	0	0	0
NM_001080438	0	1	0	0	0	0
NM_017436	281	291	215	254	232	248
NM_016161	2	1	0	1	1	0
NR_037584	0	0	0	0	0	0
NM_001173466	116.74	107.28	88.76	76.85	49.57	33.33
NM_015665	397.26	347.72	283.24	254.15	233.43	219.67
NM_023928	567	629	422	965	769	682
NR_024035	0	0	0	0	0	0
NM_001086	0	0	0	5	3	2
NM_207365	0	0	0	0	0	0
NR_110202	0	0	0	0	0	0
NR_110203	0	0	0	0	0	0
NM_001103170	0	0	0	0	0	0
NR_111984	0	0	0	0	0	0
NM_001013630	0	0	0	0	0	0
NR_026915	0	0	0	13	6	4
NM_001286682	0	0	0	0	0	0
NM_001286683	0	11.54	0	0	0	0
NM_016228	152	156.46	114	155	141	101
NM_182662	0	0	0	0	0	0
NM_153698	166	176	135	88	101	79
NM_001271885	355.74	322.56	167.25	439.53	264.06	377.56
NM_001271886	135.78	79.11	93.9	130.59	220.01	146.3
NM_024666	435.48	557.33	390.85	338.87	388.93	278.15
NM_014911	1125	1363	907	1196	1219	1072
NM_024684	276	261	153	301	257	241
NM_001087	1152.39	1205.57	878.43	1855.72	1666.58	1451.93
NM_001302545	113.61	103.43	68.57	400.28	322.42	256.07
NM_001088	0	2	0	0	0	1
NM_001166579	0	0	0	0	0	0
NR_110548	0	0	0	0	0	0
NM_001271874	304.56	355.04	303.15	401.84	308.96	288.61
NM_015511	31.44	32.96	7.85	16.16	63.04	30.39
NM_001025357	1	0	0	0	0	1
NM_001605	3849	4211	2916	1751	2982	2210
NM_020745	230	246	171	386	315	252
NM_001261434	359.93	440.11	233.73	369.63	355.61	277.94
NM_001286668	33.91	9.11	1.32	18.07	16.47	0
NM_001286669	0	28.08	0	27.38	0	0
NM_001286670	0	23.2	2.02	0	37.03	0
NM_001286671	0	0.11	0	0	23.33	0
NM_001286672	19.63	24.5	22.2	0	20.7	16.69
NM_181806	62.47	34.01	48.47	23.55	1.48	49.31
NM_015423	728.89	764.6	587.71	714.8	557.9	501.97
NM_005763	386	375	277	216	184	185
NR_026961	1	0	0	0	0	2
NM_012138	532	555	401	631	579	445
NM_001080395	0	0	0	0	0	0
NM_004920	2.01	1	2	0	1	0
NR_027255	0	0	0	0	0	0
NR_131907	54.61	58.47	48.13	156.4	157.21	107.46
NM_000663	0	0	0	0	0	0
NM_001127448	0	0	0	0	0	0
NM_020686	46	75	52	21	15	19
NM_005502	862	908	646	2459	2112	1771
NM_080282	5	5	2	8	12.05	7
NR_002451	53.53	41.86	33.36	75.47	64.58	42.62
NM_015657	1	0	1	0	1	0
NM_173076	0	0	0	0	0	0
NR_103740	0	0	0	0	0	0
NM_152701	1	2	1	10	9	9
NR_003574	0	1	0	1	1	0
NM_001606	1102	1173	762	1827	1464	1419
NM_212533	0	0	0	0	0	0
NM_001089	20	38	24	109	119	97
NM_000350	4	7	2	13	4	7
NM_018672	34.24	23.87	8.56	0	8.56	0
NM_172232	75.76	100.13	87.44	57	33.44	34
NM_080284	4	5	3	5	5	4
NM_019112	165	106	104	71	47	51
NM_001288985	0	14	0	0	0	0
NM_001288986	20	0	0	0	0	0
NM_007168	0	0	10	1	1	0
NM_080283	0	0	0	0	0	1
NR_126414	0	0	0	0	0	0
NM_000927	60	38.97	33	23	20	25
NM_012089	388	449	318	212	210	186
NM_003742	0	0	0	0	0	0
NM_000443	0	0	0	0	0	0
NM_018849	0	0	0	0	0	0
NM_018850	0	1.03	0	0	0	0
NM_001163941	0	0	0	0	0	0
NM_001163942	0	0	0	0	0	0
NM_001163993	0	0	0	0	0	0
NM_178559	0	0	0	0	0	0
NM_005689	507	553	377	297	195	228
NM_001271696	235	82.9	80.79	88.09	64.16	185.32
NM_001271697	0	25.19	0	0	11.09	0
NM_001271698	0	22.47	11.6	25.55	9.89	0
NM_001271699	0	23.62	0	0	21.09	0
NM_004299	0	77.82	73.61	167.37	116.76	25.68
NM_001282291	63.01	20.64	0	0	22.65	0
NM_001282292	0	32.29	0	0	0	0
NM_001282293	14.61	14.59	0	9.86	0	0
NM_007188	380.39	415.48	345	443.14	357.35	327
NM_001243013	0	39.62	0	14.94	0	0
NM_001243014	0	0	0	12.06	11.2	31.08
NM_019624	0	0	0	0	0	0
NM_019625	110	76.38	67	135	120.8	104.92
NM_203444	0	0	0	0	0	0
NM_004996	5979	6670	4605	3360	3065	2853
NM_001198934	449.39	567.6	324.42	801.29	714.27	629.56
NM_033450	77.61	44.4	77.58	81.71	41.73	60.44
NM_032583	0	0	0	0	0	0
NM_033151	0	0	0	0	0	0
NM_145186	1	6	1	0	0	0
NM_033226	0	0	0	0	0	1
NR_003087	0	0	0	0	0	0
NR_003088	0	0	0	0	0	0
NM_000392	10	15	3	3	6	3
NM_001144070	65.59	107.3	75.37	60.92	45.08	74.26
NM_003786	701.41	727.7	599.63	159.08	113.92	130.74
NM_001105515	50.11	0.33	34.96	48.54	0.85	69.64
NM_001301829	0	0	0	0	0	0
NM_001301830	2.54	59.59	0	60.16	71.08	1.45
NM_005845	3003.35	3060.09	2503.04	2656.31	2144.07	2066.91
NM_001023587	101.73	65.07	49.68	91.35	70.31	67.45
NM_005688	499.27	471.93	330.32	932.65	718.69	576.55
NR_046570	0	0	0	0	0	0
NM_001079528	5.88	11.31	5.46	5.06	3.48	2.3
NM_001171	73.38	60.01	43.2	15.68	9.52	9.7
NR_003569	2.74	2.68	1.34	1.26	0	0
NR_023387	2	0	0	0	0	1
NM_000352	0	0	0	0	0	0
NM_001287174	0	0	0	0	0	0
NM_005691	1.43	0	0	0	3.97	0
NM_020297	92.57	98	68	4	9.03	5
NM_000033	461	462	295	945	809	715
NM_005164	2	2	1	0	0	0
NM_001122674	19.05	27.88	4.94	10.32	7.65	13.59
NM_002858	816.95	769.12	577.06	864.68	654.35	665.41
NM_005050	96.35	98.55	129.06	192.69	136.78	82.72
NR_003256	158.65	148.45	80.94	95.31	99.22	101.28
