WT_1	WT_2	KO_1	KO_2
0610005C13Rik	0.69	0.57	0.29	0.57
0610007P14Rik	149.55	133.49	125.7	125.15
0610009B22Rik	46.6	47.13	47.84	46.22
0610009L18Rik	2.43	1.09	1.66	1.98
0610009O20Rik	19.64	19.39	19.9	19.64
0610010B08Rik	7.75	4.96	9.89	8.57
0610010F05Rik	10.21	9.82	11.15	11.35
0610010K14Rik	70.56	76.38	92.64	70.18
0610011F06Rik	11.27	13.27	12.01	8.78
0610012G03Rik	25.68	23.3	26.7	25.74
0610030E20Rik	10.3	10.43	9.88	9.88
0610031O16Rik	0	0	0	0
0610037L13Rik	20.95	21.95	23.21	20.86
0610038B21Rik	1.17	1.19	1.44	1.51
0610039H22Rik	0	0	0	0
0610039K10Rik	0.59	0.15	0.37	0.15
0610040B10Rik	5.27	3.26	3.02	3.6
0610040F04Rik	0	0	0	0
0610040J01Rik	0	0	0.11	0.2
0610043K17Rik	1.55	0.22	0.37	0.88
1010001N08Rik	6	4.16	4.28	5.15
1110001J03Rik	17.07	25.67	30.42	18.62
1110002L01Rik	13.51	12.58	12.75	14.6
1110004E09Rik	14.7	17.52	16.53	15.63
1110004F10Rik	134.11	133.87	132.09	139.02
1110006O24Rik	2.26	1.2	2.03	2.07
1110007C09Rik	28.04	28.75	33.06	36.13
1110008F13Rik	241.61	254.79	250.11	256.16
1110008L16Rik	8.56	8.46	6.55	7.77
1110008P14Rik	36.15	34.36	36.39	34.75
1110012L19Rik	40.18	42.57	38.97	39.02
1110015O18Rik	0	0	0	0
1110017D15Rik	0.23	0.37	0.41	1.16
1110019D14Rik	5.92	4.52	3.81	5.72
1110020A21Rik	0.31	0.15	0	1.23
1110025L11Rik	0	0	0	0
1110028F11Rik	0	0	0	0
1110028F18Rik	0	0	0	0
1110032A03Rik	14.38	15.36	15.95	15.37
1110032F04Rik	0	0	0	0.1
1110034G24Rik	2.33	3.16	2.59	2.49
1110036E04Rik	0	0	0	0
1110037F02Rik	29.31	29	26.1	28.02
1110038B12Rik	232.2	230.29	215.29	223.98
1110038F14Rik	32.79	37.28	36.78	35.83
1110046J04Rik	13.36	9.67	13.87	13.3
1110051M20Rik	15.23	14.08	15.31	14.97
1110058D11Rik	0	0.2	0	0
1110059E24Rik	29.88	33.72	31.56	34.52
1110059G10Rik	6.48	6.53	7.59	7.73
1110065P20Rik	42.91	40.14	47.67	39.68
1190002F15Rik	30.58	30.98	31.67	30.21
1190002N15Rik	25.35	26.94	25.19	27.24
1190003K10Rik	0	0	0	0
1190005I06Rik	0	0.25	0	1.43
1190007I07Rik	5.9	5.75	5.7	4.02
1200014J11Rik	12.31	12.65	12.69	12.16
1300002E11Rik	14.83	16.83	17.47	14.11
1300017J02Rik	0.11	0.05	0.18	0.33
1500004A13Rik	2.62	2.85	2.4	3.13
1500009C09Rik	0.08	0	0.07	0
1500009L16Rik	1.83	3.09	1.44	1.39
1500011B03Rik	16.67	18.03	16.85	16.19
1500011K16Rik	24.18	26.86	26.61	25.05
1500012F01Rik	245	245.29	230.49	209.24
1500012K07Rik	0	0	0	0
1500015A07Rik	2.02	2.13	1.69	1.81
1500015L24Rik	0	0	0	0
1500015O10Rik	5.62	4.54	5.44	4.57
1500017E21Rik	0	0	0.57	0.5
1500026H17Rik	0.08	0	0.07	0.04
1600002D24Rik	0	0	0	0
1600002H07Rik	11.64	9.56	11.42	12.8
1600002K03Rik	23.17	22.32	26.14	22.02
1600010M07Rik	0	0.44	0.19	0
1600012H06Rik	39.3	39.32	38.19	40.13
1600014C10Rik	25.52	25.9	24.08	25.96
1600014C23Rik	0.54	0.27	0	0
1600014K23Rik	0	0	0	0
1600015I10Rik	0	0	0	0
1600019K03Rik	0	0	0	0
1600020E01Rik	11.63	14.29	11.39	13.79
1600023N17Rik	0.26	0.13	0	0.51
1600025M17Rik	0	0	0	0
1600027J07Rik	0	0.29	0	0.58
1600029I14Rik	0	0	0	0.15
1600029O15Rik	0	0.07	0	0
1700001C02Rik	0	0	0	0
1700001C19Rik	0.19	0.08	0.08	0.09
1700001D01Rik	0	0	0.2	0
1700001F09Rik	0	0	0	0
1700001G01Rik	0	0	0.07	0
1700001G11Rik	1.23	2.44	3.07	1.92
1700001G17Rik	0.44	0.44	0.49	0.15
1700001J03Rik	0.17	0.17	0.43	0.68
1700001J11Rik	0.13	0.05	0	0
1700001K19Rik	0.27	0.14	0.34	0.27
1700001K23Rik	0.29	0.58	0.24	0.29
1700001L05Rik	1.1	0.92	1.8	1.54
1700001L19Rik	0.07	0	0.17	0.28
1700001O22Rik	0.53	0.95	0.59	0.54
1700001P01Rik	0	0	0	0
1700003C15Rik	0	0	0	0
1700003D09Rik	0	0	0	0
1700003E16Rik	0.37	0.9	0.76	0.3
1700003E24Rik	0	0	0	0
1700003F12Rik	0.37	0.72	1.68	0.91
1700003G13Rik	0	0	0	0
1700003G18Rik	0	0	0	0.22
1700003H04Rik	0	0	0	0
1700003I22Rik	0	0	0	0
1700003L19Rik	0	0	0	0
1700003M02Rik	0	0	0.06	0
1700003M07Rik	0.06	0	0	0
1700003P14Rik	0	0	0	0
1700006A11Rik	0	0	0	0
1700006E09Rik	0	0	0	0
1700006F04Rik	0	0	0	0
1700006H21Rik	0	0	0	0
1700007B14Rik	0.06	0	0.1	0
1700007F19Rik	0	0	0	0
1700007G11Rik	0	0	0.26	0
1700007J10Rik	0.36	0.12	0.2	0
1700007K09Rik	0	0	0.5	0.6
1700007K13Rik	1.81	0.65	1.52	1.31
1700007L15Rik	7.87	7.97	7.62	6.41
1700007P06Rik	0	0	0	0
1700008C04Rik	0	0	0	0
1700008J07Rik	1.85	1.98	1.43	1.86
1700008K24Rik	0	0	0	0
1700008O03Rik	0.29	0.43	0.12	0.43
1700008P02Rik	0	0	0	0
1700009C05Rik	0.17	0	0	0
1700009J07Rik	0	0	0	0
1700009N14Rik	0	0	0	0
1700010B08Rik	0	0	0	0
1700010D01Rik	0	0.28	0	0.28
1700010I02Rik	0	0	0	0
1700010I14Rik	0.73	1.19	1.45	1.26
1700010J16Rik	0	0	0	0
1700010K23Rik	0	0	0	0
