"Cont_1"	"Cont_2"	"SFN_1"	"SFN_2"
"A1BG"	0.41	0.32	0.28	0.31
"A1BG-AS1"	0.14	0.18	0.14	0.47
"A1CF"	0.01	0	0	0
"A2M"	0.22	0.27	0.02	0
"A2M-AS1"	0.47	0.53	0.37	0.7
"A2ML1"	0.08	0.1	0.1	0.13
"A2MP1"	0.2	0.05	0	0
"A3GALT2"	0	0.12	0.18	0.16
"A4GALT"	0	0	0.12	0
"A4GNT"	0.03	0	0	0
"AA06"	0	0	0	0
"AAAS"	59.87	57.76	44.75	38.13
"AACS"	36.45	39.19	31.19	36.27
"AACSP1"	0	0.03	0	0
"AADAC"	0.14	0.07	0.63	0.66
"AADACL2"	0.08	0	0	0
"AADACL2-AS1"	0	0	0	0
"AADACL3"	0	0	0.04	0.04
"AADACL4"	0	0	0	0
"AADACP1"	0.73	0.6	2.67	1.71
"AADAT"	4.62	5.04	4.57	3.18
"AAED1"	21.28	23.22	32.61	33.7
"AAGAB"	69.21	72.57	68.93	66.8
"AAK1"	2.3	2.97	2.81	3.83
"AAMDC"	23.89	24.15	18.96	18.84
"AAMP"	142.74	138.34	164.33	159.56
"AANAT"	0.31	0.12	0.19	0.42
"AAR2"	33.58	36.67	41.54	41.04
"AARD"	0	0	0	0
"AARS"	154.93	158.83	168.28	178.26
"AARS2"	10.4	10.56	10.11	10.21
"AARSD1"	42.18	45.93	42.1	41.33
"AASDH"	3.11	3.33	3.11	3.43
"AASDHPPT"	32.07	34.57	40.39	43.14
"AASS"	2.7	4.8	0.78	1.5
"AATBC"	0.41	0.43	0.1	0.25
"AATF"	92.82	103.09	135.16	124.84
"AATK"	0.12	0.17	0.16	0.17
"AATK-AS1"	0	0	0.11	0
"ABALON"	10.05	12.39	12.53	15.85
"ABAT"	4.5	5.03	2.45	2.64
"ABCA1"	0.01	0.02	0.01	0.03
"ABCA10"	0.07	0.06	0.13	0.09
"ABCA11P"	3.97	3.26	4.24	5.57
