WT_1	WT_2	KO_1	KO_2
0610005C13Rik	0.31	0.21	0.14	0
0610007P14Rik	69.65	61.13	79.6	74.21
0610009B22Rik	31.12	25.99	33.63	29.9
0610009L18Rik	3.35	4.57	3.44	4.47
0610009O20Rik	20.81	20.43	19.98	20.34
0610010B08Rik	17.94	8.04	10.1	8.26
0610010F05Rik	18.32	15.98	18.09	17.19
0610010K14Rik	69.85	76.31	65.76	68.85
0610011F06Rik	7.57	6.32	8.74	11.24
0610012G03Rik	29.58	34.81	29.77	32.95
0610030E20Rik	10.54	10.54	11.38	11.35
0610031O16Rik	0	0	0	0
0610037L13Rik	35.24	42.02	34.58	33.23
0610038B21Rik	1.49	1.96	1.56	1.36
0610039H22Rik	0	0.17	0	0
0610039K10Rik	0.39	0.26	0.72	0.3
0610040B10Rik	2.05	1.18	2.88	1
0610040F04Rik	0	0.15	0	0.17
0610040J01Rik	0.12	0.06	0.07	0.14
0610043K17Rik	1.18	0	0.43	1.12
1010001N08Rik	3.06	4.58	2.51	1.84
1110001J03Rik	37.74	39.86	27.78	29.54
1110002L01Rik	6.95	4.63	11.3	9.38
1110004E09Rik	29.47	27.45	25.28	27.29
1110004F10Rik	114.53	120.4	154.68	160.07
1110006O24Rik	2.78	1.56	1.69	1.93
1110007C09Rik	32.05	39.17	49.75	49.88
1110008F13Rik	233.31	226.06	227.25	230.99
1110008L16Rik	5.78	5.19	6.99	7.45
1110008P14Rik	17.68	27.13	25.72	26.32
1110012L19Rik	24.68	30.52	24.31	22.8
1110015O18Rik	0	0	0	0
1110017D15Rik	0.41	0	0	0
1110019D14Rik	2.56	2.43	2.8	3.08
1110020A21Rik	0	0.42	0.15	0.31
1110025L11Rik	0	0	0	0
1110028F11Rik	0.04	0	0	0
1110028F18Rik	0	0	0	0
1110032A03Rik	4.34	5.9	6.38	6.27
1110032F04Rik	0.09	0	0.09	0.1
1110034G24Rik	4.84	3.88	4.44	3.05
1110036E04Rik	0	0	0	0
