"Cont_1"	"Cont_2"	"SFN_1"	"SFN_2"
"A1BG"	100.93	88.46	195	124
"A1BG-AS1"	144.11	126.2	110.99	89.84
"A1CF"	0	0	0	1
"A2M"	4	0	0	3
"A2M-AS1"	2	0	0	3
"A2ML1"	0	0	0	0
"A2MP1"	0	0	0	0
"A3GALT2"	0	0	0	0
"A4GALT"	56	51	61	51
"A4GNT"	0	0	1	2
"AA06"	0	0	0	0
"AAAS"	1051	1262	1427	1171
"AACS"	901	865	882	730
"AACSP1"	0	0	0	0
"AADAC"	0	0	9	0
"AADACL2"	0	0	0	0
"AADACL2-AS1"	0	0	0	0
"AADACL3"	0	0	0	0
"AADACL4"	0	0	0	0
"AADACP1"	0	1	1	0
"AADAT"	138	140	141	82
"AAED1"	276	209	177	123
"AAGAB"	1278	1221	1777	1443
"AAK1"	1521	1437	1878	1630
"AAMDC"	214	165	238	186
"AAMP"	2582	2339	3457	2556
"AANAT"	1	0	1	0
"AAR2"	1131	1100	1579	1111
"AARD"	0	0	0	0
"AARS"	5331	5260	6057	4987
"AARS2"	869	775	916	732
"AARSD1"	621.35	515.64	545.21	456.59
"AASDH"	219	242	298	214
"AASDHPPT"	1492	1549	1710	1408
"AASS"	116	115	110	58
"AATBC"	10	9	7	14
"AATF"	1433	1294	1660	1197
"AATK"	5	7	4	9
"AATK-AS1"	0	0	0	0
"ABALON"	272.48	296.92	433.49	363.32
"ABAT"	35	27	37	30
"ABCA1"	1279	1480	1698	1361
"ABCA10"	22	21	42	21
"ABCA11P"	255	263	198	185
"ABCA12"	120	70	62	69
"ABCA13"	0	4	5	6
"ABCA17P"	9	5	6	2
"ABCA2"	486	461	515	387
"ABCA3"	1198	1310	1365	1234
"ABCA4"	14	5	4	6
"ABCA5"	477	442	396	347
"ABCA6"	7	1	4	1
"ABCA7"	366	416	349	248
"ABCA8"	34	19	13	7
"ABCA9"	0	8	9	8
"ABCA9-AS1"	0	0	0	0
"ABCB1"	97	165	139	118
