Ctrl_1	Ctrl_2	SFN_1	SFN_2
SERF1A	8.36	6.34	0	0
TMEM256-PLSCR3	3.08	2.61	0	0
FAM72D	1.84	2.25	0	0
RAB4B-EGLN2	2.72	0.59	0	0
UBE2F-SCLY	0.92	0.41	0	0
C1orf68	4.92	3.12	0	0.1
ANKRD20A2	0.31	0.34	0	0
DCN	0.36	0.55	0	0
CLDN17	4.39	3.04	0	0.13
CCL7	1.29	1.06	0	0
RPTN	0.28	0.12	0	0
KCNH5	0.48	0.39	0.02	0
CLEC3A	1.49	1.93	0	0.09
SFRP4	0.16	0.23	0	0
ADCYAP1	0.08	0.26	0	0
FAM24B-CUZD1	0.24	0.13	0	0
KRT84	0.61	0.69	0.04	0
A2M	0.22	0.27	0.02	0
CGB8	2.66	3.1	0.14	0.12
OLFM4	15.07	19.7	0.35	0.94
LRCH2	0.64	1.86	0	0.1
COL3A1	0.23	0.41	0.03	0
COLCA2	0.49	0.85	0	0.08
LOC101927686	7.86	4.82	0.68	0
ADAMTS5	0.42	0.79	0.02	0.03
CBFA2T3	0.35	0.43	0	0.03
MAFA-AS1	8.15	5.45	0.38	0.34
BAALC	2.12	1.77	0.08	0.13
CCDC184	0.79	0.28	0	0.06
ATP10B	1.25	0.76	0.09	0.04
TGM2	4.09	3.68	0.24	0.36
WISP2	1.37	0.96	0.06	0.11
AGR2	92.38	59.71	4.33	7.29
LMO1	2.99	1.22	0.29	0.09
CLDN8	7.64	6.49	0.61	0.47
PSG5	29.25	23.41	1.64	2.44
NETO1	0.3	0.21	0.03	0.03
LCE1C	4.61	4.28	0.19	0.55
EPHA3	0.63	1.1	0.09	0.07
PCDH18	3.31	3.18	0.34	0.22
SEMA6D	3.52	2.94	0.22	0.44
BAALC-AS1	2.17	1.82	0	0.39
MYOCD	1.52	1.76	0.12	0.21
KCNH4	0.93	0.7	0.1	0.07
SAMD11	56.45	50.85	4.49	6.79
GPR132	10.35	8.77	0.96	1.15
SPRR1B	23.89	13.41	2.79	1.81
CXCL14	1.01	0.28	0.08	0.07
IVL	375.82	292.8	35.04	49.24
LINC01279	2.43	1.72	0.28	0.25
KRT15	1638.56	1042.71	144.25	202.74
ANKRD20A19P	0.45	0.33	0.09	0.01
STON1-GTF2A1L	1.98	0.99	0.26	0.13
RPL36A-HNRNPH2	27.97	14.48	0.81	5.06
ST6GAL2	0.12	0.41	0.01	0.04
MMP10	12.86	11.73	1.61	1.99
NLGN4X	0.71	0.53	0.12	0.07
TMPRSS11E	8.99	7.79	1.18	1.33
DIO2	2.24	4.15	0.36	0.58
KIT	1.67	1.76	0.19	0.32
LCE1E	27.59	24.4	4.88	3.14
HS3ST3B1	0.44	0.73	0.02	0.18
LINC00987	0.48	0.9	0.06	0.15
KRT13	1575.59	1371.82	200.01	264.39
FXYD7	9.48	7.77	1.65	1.2
MAF	2.4	1.38	0.3	0.33
STRA6	3.53	2.65	0.35	0.65
CXCL1	72.89	43.64	11.56	7.37
PTPRN2	0.43	0.22	0.02	0.09
SPINK6	14.39	10.65	2.01	2.02
GPC4	0.43	0.71	0.15	0.04
DSG4	8.51	5.86	1.17	1.18
IQGAP2	0.97	1.19	0.22	0.2
KCNJ8	2.23	2.9	0.4	0.45
ZNF704	30.64	37.49	5.16	6.14
APCDD1	8.6	8.94	1.62	1.39
CYP3A7	2.23	1.98	0.27	0.46
MMP13	63.07	51.32	7.51	12.45
SULT1E1	8.33	10.12	1.54	1.67
MPPED1	6.23	5.82	0.92	1.2
USH1G	3.88	2.99	0.67	0.55
PSG4	1.33	0.89	0.31	0.16
NPY4R	0.57	2.12	0.21	0.26
MPPED2	43.86	41.58	6.29	9.2
MARCH3	13.86	11.16	2.18	2.33
H3F3A	57.47	54.78	10.91	9.79
PSAPL1	5.64	5.58	1.17	0.88
ADGRL3	0.24	0.21	0.05	0.03
PREX2	0.96	0.69	0.13	0.17
METTL7A	18.37	15.63	2.43	3.93
LINC00885	1.04	0.98	0.18	0.2
SOX4	17.7	15.28	2.81	3.51
B4GALNT2	9.27	7.1	1.57	1.61
GABRQ	22.03	19.81	4.5	3.63
ZMYND10	1.72	1.35	0.28	0.33
COL5A1	15.7	16.81	3.01	3.38
CNTN4	0.32	0.25	0.09	0.03
CAPNS2	52.03	32.77	9.3	8.46
CCDC80	88.77	75.72	15.37	17.84
MAFA	8.1	8.55	1.83	1.58
PRODH	23.11	17.06	3.99	4.68
UNC5B-AS1	22.63	14.71	2.43	5.85
ACHE	3.03	4.41	0.67	0.85
HSD11B1L	1.67	2.13	0.42	0.44
HSPB3	13.61	7.94	2.61	2.21
KLK13	10.22	7.81	2.11	1.83
