WT_1	WT_2	KO_1	KO_2
1700003F12Rik	6.03	4.38	23.49	10.02
4933409K07Rik	2.1	1.83	4.42	7.4
A2m	24.57	11.87	56.59	60.85
A4galt	24.02	22	37.99	47.5
Abcc9	1.4	1.55	2.31	3.43
Abi3bp	5.14	4	15.46	27.45
Ablim3	0.76	0.7	1.86	2.19
Ackr1	2.59	0.74	7.1	6.71
Ackr3	27.1	20.24	60.7	83.73
Acta1	8.73	8.64	38.82	57.51
Acta2	54.98	53.95	114.84	127.85
Actc1	0.98	2.12	9.41	10.29
Actn1	42.51	39.65	49.05	72.6
Actn2	0.72	0.65	3.71	4.04
Actn3	2.74	3.33	9.9	9.51
Acvr1b	12.8	11.48	17.83	21.24
Acvrl1	30.08	24.8	39.85	36.99
Adam19	47.35	46.77	54.61	71.95
Adam9	141.38	133.37	188.64	219.31
Adamts1	68.96	59.96	86.42	115.9
Adamts2	186.25	178.03	257.33	240.11
Adamts4	6.72	6.95	14.64	14.83
Adamts5	67.73	64.54	85.59	101.61
Adcy4	2.36	2.19	4.1	5.12
Adgra3	20.08	20.29	34.93	40.38
Adgrd1	103.75	88.63	119.58	152.53
Adm2	7.16	3.82	14.82	13.51
Adra2a	0.16	0.21	1.76	2.01
Ahr	1.53	1.36	2.48	4.01
Aldh18a1	24.83	23.4	33.81	40.05
Aldh1l2	14.69	14.55	34.5	47.16
Ampd3	112.03	96.27	130.27	176.03
Angpt4	14.84	11.7	21.14	35.51
Ank3	4.72	3.88	5.78	8.69
Ankrd1	2	1.41	7.48	9
Anxa3	88.73	79.67	129.95	117.93
Anxa8	3.45	3.42	16.95	18.35
Ap2a2	93.6	92.03	119.89	122.77
Apln	59.19	52.79	103.41	100.65
Aplp1	2.42	2.19	5.84	6.03
Arrb1	35.64	28.02	49.89	49.32
Arrdc4	17.47	15.03	33.69	26.92
Atp2a1	2.32	2.31	13.16	15.56
Avil	1.42	1.25	7.38	7.03
Avpr1a	4.59	3.45	11.3	13.14
Axl	143.26	136.64	205.72	210.38
Azin2	20.88	17.25	36.45	31.56
