"",gene_symbol,GSM2668081,GSM2668082,GSM2668083,GSM2668084,GSM2668085,GSM2668086,GSM2668087,GSM2668088,GSM2668089
ENSG00000000003,TSPAN6,265.0806,300.3062,331.6881,183.7755,278.5022,254.7605,143.2263,174.3319,202.3253
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,537.7681,461.4597,436.1302,416.2508,568.8483,613.1214,374.0965,302.6622,454.057
ENSG00000000457,SCYL3,157.2023,151.5847,196.0139,142.7542,170.0119,196.5995,185.3106,260.9485,183.7584
ENSG00000000460,C1orf112,83.2406,63.1939,50.6896,71.372,161.8204,204.1681,186.2225,127.6457,172.0572
ENSG00000000938,FGR,3.0014,2.9963,1.9936,6.0149,2.999,3.0036,2.9835,0,1.0004
ENSG00000000971,CFH,24.0184,33.911,30.9166,12.0398,10.9911,20.9789,11.017,6.0063,9.0031
ENSG00000001036,FUCA2,1278.5067,1158.236,1171.5772,753.3112,847.5997,944.6092,1066.6709,1019.835,1283.475
ENSG00000001084,GCLC,2915.3188,2240.8665,1728.7437,3020.2496,3101.7467,2474.0851,458.1627,397.8691,531.7364
ENSG00000001167,NFYA,634.6016,494.8442,365.2603,471.0055,641.1747,591.2782,210.9607,205.4281,323.1503
ENSG00000001460,STPG1,664.989,587.6693,616.7334,594.4533,606.4972,557.8651,631.0995,722.8489,671.0185
ENSG00000001461,NIPAL3,3382.2458,3157.026,3003.2093,2046.0898,2074.4847,2006.4119,2459.4714,3180.493,2700.1553
ENSG00000001497,LAS1L,1832.4872,1653.0038,1530.1335,1703.5887,2042.6824,2546.1889,2640.378,2265.5736,2538.9893
ENSG00000001561,ENPP4,20.0346,30.8919,24.838,4.024,8.9825,14.9699,5.0269,6.0164,1.0005
ENSG00000001617,SEMA3F,11754.181,9741.2475,7412.0756,14844.6307,12533.6328,10711.0333,7481.6222,7500.0091,7422.4734
ENSG00000001626,CFTR,7.9955,13.3226,15.0452,3.8889,7.0673,5.9967,12.0005,24.3722,18.6167
ENSG00000001629,ANKIB1,1167.8801,899.1396,631.3354,754.4028,998.2023,839.497,285.4012,298.6825,360.1355
ENSG00000001630,CYP51A1,4255.2614,3486.0012,3038.528,3212.2142,4040.5207,4091.1127,3210.3944,2928.9626,3874.3679
ENSG00000001631,KRIT1,406.6683,331.7776,306.2837,311.8875,389.1159,448.6538,292.9039,356.6652,340.842
ENSG00000002016,RAD52,199.9638,154.8021,130.642,226.2154,240.2077,216.5009,115.7417,122.6264,108.287
ENSG00000002330,BAD,2596.4583,2409.9173,2283.6722,3111.9903,2693.7169,2654.5019,4701.6481,4847.8726,4305.4157
ENSG00000002549,LAP3,2077.6711,1963.1822,1778.2172,1390.7289,1701.8939,1979.9021,905.0281,714.8433,995.3555
ENSG00000002586,CD99,3010.3846,2514.4864,2140.0228,2987.8955,2777.6836,2624.0948,1506.9359,1386.3037,1762.3032
ENSG00000002587,HS3ST1,998.9218,733.035,753.7963,696.4248,815.8995,876.3582,660.9109,499.4292,713.8974
ENSG00000002726,AOC1,7.0543,8.0029,6.0102,5.0352,5.0615,4.0447,5.9908,6.0017,6.1216
ENSG00000002745,WNT16,4.0029,2.9919,2.9979,0,1.0006,0,0,3.9983,4.0012
ENSG00000002746,HECW1,5.6437,5.1447,9.523,3.0048,4.8585,5.3445,15.082,19.8211,16.9523
ENSG00000002822,MAD1L1,1671.5382,1467.3171,1548.5893,1524.5929,1497.4674,1650.5209,2687.8288,2536.4143,2493.4586
ENSG00000002834,LASP1,19423.794,16720.8331,14003.2609,10287.8809,13427.02,14616.3624,9070.0798,6536.3192,10012.2496
ENSG00000002919,SNX11,915.5758,896.0954,808.9175,665.441,760.3472,881.3742,833.5688,731.2064,924.3639
ENSG00000002933,TMEM176A,0,1.0044,2.0184,0.9939,1.0021,1.0025,4.9784,3.9916,1
