	Cont_1	Cont_2	SFN_1	SFN_2	NRF2KO-SFN_1	NRF2KO-SFN_2
A1BG	100.93	88.46	195	124	79	93.58
A1BG-AS1	144.11	126.2	110.99	89.84	73.81	83.89
A1CF	0	0	0	1	2	1
A2M	4	0	0	3	0	0
A2M-AS1	2	0	0	3	0	0
A2ML1	0	0	0	0	0	1
A2MP1	0	0	0	0	0	1
A3GALT2	0	0	0	0	0	0
A4GALT	56	51	61	51	35	32
A4GNT	0	0	1	2	0	1
AA06	0	0	0	0	0	0
AAAS	1051	1262	1427	1171	1207	1170
AACS	901	865	882	730	628	619
AACSP1	0	0	0	0	0	0
AADAC	0	0	9	0	1	1
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADACP1	0	1	1	0	0	0
AADAT	138	140	141	82	112	115
AAED1	276	209	177	123	100	97
AAGAB	1278	1221	1777	1443	1114	1168
AAK1	1521	1437	1878	1630	1444	1371
AAMDC	214	165	238	186	151	136
AAMP	2582	2339	3457	2556	2219	2318
AANAT	1	0	1	0	0	4
AAR2	1131	1100	1579	1111	1166	1107
AARD	0	0	0	0	0	0
AARS	5331	5260	6057	4987	4470	4531
AARS2	869	775	916	732	672	669
AARSD1	621.35	515.64	545.21	456.59	423.35	428.65
AASDH	219	242	298	214	233	183
AASDHPPT	1492	1549	1710	1408	1240	1255
AASS	116	115	110	58	73	71
AATBC	10	9	7	14	7	6
AATF	1433	1294	1660	1197	1077	1098
AATK	5	7	4	9	13	13
AATK-AS1	0	0	0	0	0	0
ABALON	272.48	296.92	433.49	363.32	310.58	335.1
ABAT	35	27	37	30	38	30
ABCA1	1279	1480	1698	1361	1377	1426
ABCA10	22	21	42	21	28	19
ABCA11P	255	263	198	185	184	189
ABCA12	120	70	62	69	71	53
ABCA13	0	4	5	6	1	1
ABCA17P	9	5	6	2	13	5
ABCA2	486	461	515	387	482	462
ABCA3	1198	1310	1365	1234	1255	1231
ABCA4	14	5	4	6	2	14
ABCA5	477	442	396	347	294	256
ABCA6	7	1	4	1	1	2
ABCA7	366	416	349	248	320	292
ABCA8	34	19	13	7	13	21
ABCA9	0	8	9	8	1	0
ABCA9-AS1	0	0	0	0	0	0
ABCB1	97	165	139	118	102	110
ABCB10	664	622	690	532	570	555
ABCB11	0	0	0	0	0	0
ABCB4	5	4	10	2	0	0
ABCB5	0	0	0	0	0	0
ABCB6	363	386	334	235	206	226
ABCB7	434	338	358	325	285	283
ABCB8	682	724	959	758	690	723
ABCB9	183	180	165	134	142	129
ABCC1	1784	1834	2154	1787	1702	1781
ABCC10	543	527	520	390	413	385
ABCC11	0	0	6	0	1	4
ABCC12	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0
ABCC2	32	60	49	47	30	42
ABCC3	57	63	94	62	41	71
ABCC4	927	937	1016	816	818	731
ABCC5	1102	1149	1165	993	783	804
ABCC5-AS1	0	0	0	0	0	0
ABCC6	1	8	3	0	0	0
ABCC6P1	0	0	1	0	1	1
ABCC6P2	0	1	0	1	0	1
ABCC8	0	0	0	0	0	0
ABCC9	44	47	54	61	15	13
ABCD1	578	515	814	651	599	556
ABCD2	11	3	1	0	1	3
ABCD3	1725	1603	1612	1314	1023	1186
ABCD4	508	511	553	508	394	407
ABCE1	5380	5242	5734	4667	3650	3661
ABCF1	3353	3131	3817	2928	2546	2621
ABCF2	1992	2085	2665	2065	1875	1815
ABCF3	1228	1168	1276	1042	938	944
ABCG1	0	0	0	0	0	0
ABCG2	307	244	196	127	81	83
ABCG4	6	2	10	6	1	2
ABCG5	0	0	0	1	0	0
ABCG8	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0
ABHD10	922	772	726	509	488	471
ABHD11	337	344	477	337	308	266
ABHD11-AS1	8	0	2	0	2	2
ABHD12	1861	1973	2853	2221	1985	1966
ABHD12B	8	2	4	3	3	8
ABHD13	681	642	848	746	624	574
ABHD14A	90	41.52	64.31	72	53	60
ABHD14A-ACY1	0	25.35	5.92	0	0	0
ABHD14B	351	417	438	374	357	371
ABHD15	307	289	344	340	300	340
ABHD16A	460	420	453	337	275	294
ABHD16B	220	233	478	374	356	337
ABHD17A	1693	1737	2377	1927	1867	2004
ABHD17B	518	512	687	533	442	488
ABHD17C	169	133	82	86	79	75
ABHD2	2573	2696	2971	2425	2376	2458
ABHD3	268	229	433	377	194	201
ABHD4	739	797	1427	1136	458	555
ABHD5	270	237	393	333	211	210
ABHD6	57	64	71	51	51	46
ABHD8	634	670	1037	832	808	773
ABI1	1394.88	1332.6	1866	1496	1133.64	1142
ABI2	2902	2943	2478	1963	2145	2018
ABI3	0	0	3	1	0	1
ABI3BP	181	150	176	148	50	54
ABL1	3310	3438	5733	4508	3784	3609
ABL2	5454	5741	7915	7003	5409	4906
ABLIM1	702	692	618	520	473	417
ABLIM2	0	8	7	0	5	6
ABLIM3	491	337	387	320	201	224
ABO	0	0	0	0	4	0
ABR	2305	2267	2591	2013	2260	2236
ABRA	0	0	0	0	0	0
ABRACL	741	727	919	700	450	423
ABT1	707	686	1006	732	751	767
ABTB1	157	136	245	128	132	162
ABTB2	217	227	216	160	121	116
ACAA1	273	237	371	291	212	222
ACAA2	578	603	843	687	617	642
ACACA	1507	1407	1692	1444	1393	1504
ACACB	164	169	67	72	68	68
ACAD10	151	174	181	140	155	198
ACAD11	582.4	518.16	531.36	407.38	290.61	319.82
ACAD8	485	451	460	340	363	370
ACAD9	826	867	1076	816	773	742
ACADL	0	0	0	0	1	0
ACADM	1281	1208	1266	999	949	835
ACADS	137	151	126	107	115	154
ACADSB	576	558	578	408	513	478
ACADVL	5682	5322	6860	5299	5530	5670
ACAN	0	0	0	1	0	0
ACAP1	3	2	0	0	3	0
ACAP2	1683	1710	2381	1939	1463	1441
ACAP3	875	735	735	537	529	608
ACAT1	1503	1443	1570	1180	1158	1176
ACAT2	1319.89	1177.43	1284.92	964.89	978	970.03
ACBD3	1446	1376	2089	1741	1282	1105
ACBD4	108	95	62	45	64	56
ACBD5	1138	1168	1462	1161	972	942
ACBD6	1190	1102	1226	890	948	919
ACBD7	222	235	201	125	181	183
ACCS	2	0	0	1	0	0
ACCSL	0	0	0	0	0	0
ACD	777	669	738	589	546	599
ACE	9	0	5	4	2	1
ACE2	4	2	0	1	2	0
ACER1	0	2	0	4	2	2
ACER2	46	42	83	50	42	43
ACER3	674	650	885	828	773	635
ACHE	8	10	7	9	7	3
ACIN1	5843	5796	6449	5220	4990	5014
ACKR1	0	0	0	0	0	0
ACKR2	0	0	0	0	1	0
ACKR3	0	0	0	0	1	0
ACKR4	10	11	6	19	8	11
ACLY	8001	7585	9446	7973	7443	7482
ACMSD	0	0	0	0	0	0
ACO1	5888	5863	7718	6472	5323	5079
ACO2	1622.9	1699.78	2353.03	1816.95	1592.88	1542.46
ACOT1	111.95	110.15	126.03	146.28	141.44	120.33
ACOT11	10	11	9	4.74	10	13
ACOT12	0	0	0	0	0	0
ACOT13	529.18	461	630.08	516.18	443.24	472.09
ACOT2	883.05	938.85	1211.97	865.72	961.56	982.67
ACOT4	5	2	2	1	8	4
ACOT6	0	0	0	0	0	0
ACOT7	1772	1682	2914	2154	2094	1975
ACOT8	294	276.5	378.29	296.57	265.24	226
ACOT9	1420	1334	1451	1151	1053	991
ACOX1	1153.1	1066.18	1463.25	1160	1024	1002.39
ACOX2	1	0	2	2	1	1
ACOX3	224	248	215	128	200	161
ACOXL	1	0	0	0	1	1
ACP1	2178	2028	2745	2375	1883	1887
ACP2	551	582	765	598	526	552
ACP5	1	2	5	4	0	1
ACP6	229	174	156	143	118	120
ACPP	0	0	0	0	0	0
ACPT	0	0	0	0	0	0
ACR	0	0	0	0	1	0
ACRBP	0	0	2	2	0	1
ACRC	31	23	91	51	48	51
ACRV1	2	2	1	1	2	2
ACSBG1	2	3	9	4	3	7
ACSBG2	7	3	0	2	1	1
ACSF2	504	469	486	374	377	433
ACSF3	362	330	377	285	313	344
ACSL1	1278	1192	1410	1144	908	897
ACSL3	1321	1200	1485	1375	1260	1336
ACSL4	3603	3914	5453	4490	3391	3390
ACSL5	84	58	99	103	42	44
ACSL6	0	2	0	0	0	2
ACSM1	0	0	0	0	0	1
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	21.2	13.05	8.02	5	7.06	2
ACSM4	0	0	0	0	0	0
ACSM5	4	1	0	1	2	1
ACSM6	0	0	0	0	0	0
ACSS1	1	4	3	4	2	1
ACSS2	434	413	487	383	311	324
