	Ctrl_1	Ctrl_2	SFN_1	SFN_2	NRF2KO-Cont_1	NRF2KO-Cont_2	NRF2KO-SFN_1	NRF2KO-SFN_2
A1BG	5.65	5.25	8.55	6.93	6.29	4.75	5	6.09
A1BG-AS1	6.47	6.01	3.89	4.02	3.98	4.11	3.74	4.38
A1CF	0	0	0	0.01	0	0	0.02	0.01
A2M	0.08	0	0	0.06	0	0	0	0
A2M-AS1	0.09	0	0	0.13	0.05	0	0	0
A2ML1	0	0	0	0	0	0	0	0.03
A2MP1	0	0	0	0	0	0	0	0.11
A3GALT2	0	0	0	0	0	0	0	0
A4GALT	2.57	2.48	2.18	2.33	2.08	2.25	1.81	1.71
A4GNT	0	0	0.04	0.11	0	0	0	0.06
AA06	0	0	0	0	0	0	0	0
AAAS	56.21	71.84	59.94	62.9	72.8	79.09	73.21	73.08
AACS	24.59	25.01	18.65	19.71	25.96	28.94	19.35	19.64
AACSP1	0	0	0	0	0	0	0	0
AADAC	0	0	0.44	0	0.28	0	0.07	0.07
AADACL2	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACP1	0	0.09	0.07	0	0.19	0.1	0	0
AADAT	5.6	6.02	4.53	3.31	4.32	6.63	5.14	5.43
AAED1	24.34	19.58	12.39	10.95	16.4	12.62	9.97	9.94
AAGAB	36.12	36.51	38.96	40.52	34.23	34.3	35.52	38.34
AAK1	6	6	5.69	6.32	5.96	5.94	6.43	6.29
AAMDC	81.14	67.28	81.26	78.85	66.79	72.78	65.22	59.72
AAMP	138.27	132.83	144.93	136.61	134.17	141.79	134.27	144.29
AANAT	0.11	0	0.09	0	0.06	0	0	0.24
AAR2	42.33	42.97	45.79	41.2	43.53	44.24	49.14	47.78
AARD	0	0	0	0	0	0	0	0
AARS	144.37	150.91	127.07	133.62	168.89	174.26	136.7	142.67
AARS2	16.01	15.12	13.03	13.3	15.9	15.42	13.98	14.33
AARSD1	47.73	42.05	33.1	35.28	45.3	49.01	36.77	38.26
AASDH	6.21	6.95	6.6	5.85	5.31	6.42	6.95	5.96
AASDHPPT	47.98	52.79	42.69	44.88	45.24	40.68	45.04	46.93
AASS	1.72	1.81	1.26	0.85	1.97	1.86	1.22	1.22
AATBC	0.19	0.18	0.1	0.27	0.15	0.25	0.15	0.13
AATF	63.97	61.25	57.81	53.18	63.08	61.56	54.32	56.98
AATK	0.09	0.13	0.05	0.15	0.23	0.22	0.25	0.26
AATK-AS1	0	0	0	0	0	0	0	0
ABALON	13.95	16.13	17.36	18.56	14.79	14.65	17.97	19.95
ABAT	0.64	0.52	0.52	0.54	1.18	0.98	0.78	0.64
ABCA1	10.37	12.7	10.58	10.85	16.16	17.87	12.6	13.44
ABCA10	0.3	0.3	0.44	0.28	0.36	0.28	0.43	0.3
ABCA11P	13.12	14.35	7.97	9.5	12.97	12.23	10.7	11.31
ABCA12	1.13	0.74	0.45	0.64	0.85	0.97	0.77	0.58
ABCA13	0	0.02	0.02	0.03	0	0.01	0.01	0.01
ABCA17P	0.19	0.11	0.1	0.04	0.29	0.2	0.31	0.12
ABCA2	5.12	5.14	4.17	4.01	8.12	7.47	5.73	5.66
ABCA3	15.66	18.13	13.74	15.88	25.66	26.21	18.52	18.71
ABCA4	0.16	0.06	0.04	0.07	0.09	0.18	0.03	0.19
ABCA5	4.78	4.45	2.93	3.31	3.73	4.52	3.07	2.78
ABCA6	0.12	0.02	0.05	0.02	0	0.04	0.02	0.04
ABCA7	4.64	5.58	3.41	3.1	7.17	6.72	4.58	4.31
ABCA8	0.51	0.3	0.15	0.1	0.39	0.36	0.22	0.36
ABCA9	0	0.12	0.1	0.11	0.03	0	0.02	0
ABCA9-AS1	0	0	0	0	0	0	0	0
ABCB1	1.81	3.27	2.01	2.18	1.87	2.3	2.15	2.39
ABCB10	15.4	15.28	12.38	12.19	17.09	18.45	14.93	14.97
ABCB11	0	0	0	0	0	0	0	0
ABCB4	0.12	0.1	0.18	0.05	0	0	0	0
ABCB5	0	0	0	0	0	0	0	0
ABCB6	11	12.4	7.85	7.06	11.6	13.12	7.05	7.96
