	dataset	Scientific_name	description	version	Scientific_common_name
1	abrachyrhynchus_gene_ensembl	Anser_brachyrhynchus	Pink-footed goose	ASM259213v1	Anser_brachyrhynchus (Pink-footed goose)
2	acalliptera_gene_ensembl	Astatotilapia_calliptera	Eastern happy	fAstCal1.2	Astatotilapia_calliptera (Eastern happy)
3	acarolinensis_gene_ensembl	Anolis carolinensis	Green anole	AnoCar2.0v2	Anolis carolinensis (Green anole)
4	acchrysaetos_gene_ensembl	Aquila_chrysaetos	Golden eagle	bAquChr1.2	Aquila_chrysaetos (Golden eagle)
5	acitrinellus_gene_ensembl	Amphilophus_citrinellus	Midas cichlid	Midas_v5	Amphilophus_citrinellus (Midas cichlid)
6	amelanoleuca_gene_ensembl	Ailuropoda_melanoleuca	Giant panda	ASM200744v2	Ailuropoda_melanoleuca (Giant panda)
7	amexicanus_gene_ensembl	Astyanax_mexicanus	Mexican tetra	Astyanax_mexicanus-2.0	Astyanax_mexicanus (Mexican tetra)
8	anancymaae_gene_ensembl	Aotus_nancymaae	Ma's night monkey	Anan_2.0	Aotus_nancymaae (Ma's night monkey)
9	aocellaris_gene_ensembl	Amphiprion_ocellaris	Clown anemonefish	AmpOce1.0	Amphiprion_ocellaris (Clown anemonefish)
10	apercula_gene_ensembl	Amphiprion_percula	Orange clownfish	Nemo_v1	Amphiprion_percula (Orange clownfish)
11	aplatyrhynchos_gene_ensembl	Anas_platyrhynchos	Mallard	ASM874695v1	Anas_platyrhynchos (Mallard)
12	apolyacanthus_gene_ensembl	Acanthochromis_polyacanthus	Spiny chromis	ASM210954v1	Acanthochromis_polyacanthus (Spiny chromis)
13	applatyrhynchos_gene_ensembl	Anas_platyrhynchos	Duck	CAU_duck1.0	Anas_platyrhynchos (Duck)
14	atestudineus_gene_ensembl	Anabas_testudineus	Climbing perch	fAnaTes1.2	Anabas_testudineus (Climbing perch)
15	bbbison_gene_ensembl	Bison bison	American bison	Bison_UMD1.0	Bison bison (American bison)
16	bgrunniens_gene_ensembl	Bos_grunniens	Domestic yak	LU_Bosgru_v3.0	Bos_grunniens (Domestic yak)
17	bihybrid_gene_ensembl	Bos indicus_x_Bos taurus	Hybrid - Bos Indicus	UOA_Brahman_1	Bos indicus_x_Bos taurus (Hybrid - Bos Indicus)
18	bmusculus_gene_ensembl	Balaenoptera_musculus	Blue whale	mBalMus1.v2	Balaenoptera_musculus (Blue whale)
19	bmutus_gene_ensembl	Bos_mutus	Wild yak	BosGru_v2.0	Bos_mutus (Wild yak)
20	bsplendens_gene_ensembl	Betta splendens	Siamese fighting fish	fBetSpl5.2	Betta splendens (Siamese fighting fish)
22	cabingdonii_gene_ensembl	Chelonoidis_abingdonii	Abingdon island giant tortoise	ASM359739v1	Chelonoidis_abingdonii (Abingdon island giant tortoise)
23	catys_gene_ensembl	Cercocebus_atys	Sooty mangabey	Caty_1.0	Cercocebus_atys (Sooty mangabey)
24	cauratus_gene_ensembl	Carassius_auratus	Goldfish	ASM336829v1	Carassius_auratus (Goldfish)
25	cccarpio_gene_ensembl	Cyprinus_carpio carpio	Common carp	Cypcar_WagV4.0	Cyprinus_carpio carpio (Common carp)
26	cdromedarius_gene_ensembl	Camelus_dromedarius	Arabian camel	CamDro2	Camelus_dromedarius (Arabian camel)
28	cgchok1gshd_gene_ensembl	Cricetulus griseus	Chinese hamster CHOK1GS	CHOK1GS_HDv1	Cricetulus griseus (Chinese hamster CHOK1GS)
29	cgobio_gene_ensembl	Cottus_gobio	Channel bull blenny	fCotGob3.1	Cottus_gobio (Channel bull blenny)
30	charengus_gene_ensembl	Clupea_harengus	Atlantic herring	Ch_v2.0.2	Clupea_harengus (Atlantic herring)
31	chircus_gene_ensembl	Capra_hircus	Goat	ARS1	Capra_hircus (Goat)
32	choffmanni_gene_ensembl	Choloepus_hoffmanni	Sloth	choHof1	Choloepus_hoffmanni (Sloth)
33	chyarkandensis_gene_ensembl	Cervus hanglu yarkandensis	Yarkand deer	CEY_v1	Cervus hanglu yarkandensis (Yarkand deer)
34	cintestinalis_gene_ensembl	Ciona_intestinalis	C.intestinalis	KH	Ciona_intestinalis (C.intestinalis)
35	cjacchus_gene_ensembl	Callithrix_jacchus	White-tufted-ear marmoset	mCalJac1.pat.X	Callithrix_jacchus (White-tufted-ear marmoset)
36	cjaponica_gene_ensembl	Cryptomeria japonica	Japanese quail	Coturnix_japonica_2.0	Cryptomeria japonica (Japanese quail)
37	clanigera_gene_ensembl	Chinchilla_lanigera	Long-tailed chinchilla	ChiLan1.0	Chinchilla_lanigera (Long-tailed chinchilla)
38	cldingo_gene_ensembl	Canis lupus dingo	Dingo	ASM325472v1	Canis lupus dingo (Dingo)
40	clumpus_gene_ensembl	Cyclopterus_lumpus	Lumpfish	fCycLum1.pri	Cyclopterus_lumpus (Lumpfish)
41	cmilii_gene_ensembl	Callorhinchus_milii	Elephant shark	Callorhinchus_milii-6.1.3	Callorhinchus_milii (Elephant shark)
42	cpbellii_gene_ensembl	Chrysemys picta bellii	Painted turtle	Chrysemys_picta_bellii-3.0.3	Chrysemys picta bellii (Painted turtle)
43	cporcellus_gene_ensembl	Cavia_porcellus	Guinea Pig	Cavpor3.0	Cavia_porcellus (Guinea Pig)
44	cporosus_gene_ensembl	Crocodylus_porosus	Australian saltwater crocodile	CroPor_comp1	Crocodylus_porosus (Australian saltwater crocodile)
45	csabaeus_gene_ensembl	Chlorocebus_sabaeus	Vervet-AGM	ChlSab1.1	Chlorocebus_sabaeus (Vervet-AGM)
46	csavignyi_gene_ensembl	Ciona_savignyi	C.savignyi	CSAV 2.0	Ciona_savignyi (C.savignyi)
