dataset	description	version	Scientific_common_name
aagca019059575v1_eg_gene	"Amphibalanus amphitrite (Acorn barnacle, SeventyFive) genes (NRLGWU_Aamphi_draft)"	NRLGWU_Aamphi_draft	"Amphibalanus amphitrite (Acorn barnacle, SeventyFive)"
aagca914969975_eg_gene	"Anopheles atroparvus (Mosquito, Infravec2 EBRE) genes (atroparvus_hifiasm_n225_277Mb)"	atroparvus_hifiasm_n225_277Mb	"Anopheles atroparvus (Mosquito, Infravec2 EBRE)"
aalbimanus_eg_gene	"Anopheles albimanus (Mosquito, STECLA) genes (AalbS2)"	AalbS2	"Anopheles albimanus (Mosquito, STECLA)"
aalbopictus_eg_gene	"Aedes albopictus (Asian tiger mosquito, Foshan) genes (AaloF1)"	AaloF1	"Aedes albopictus (Asian tiger mosquito, Foshan)"
aalvpagwg_eg_gene	"Aedes aegypti (Yellow fever mosquito, LVP_AGWG) genes (AaegL5)"	AaegL5	"Aedes aegypti (Yellow fever mosquito, LVP_AGWG)"
aarabiensis_eg_gene	"Anopheles arabiensis (Mosquito, Dongola) genes (AaraD1)"	AaraD1	"Anopheles arabiensis (Mosquito, Dongola)"
acephalotes_eg_gene	Atta cephalotes (Leaf-cutter ant) genes (Attacep1.0)	Attacep1.0	Atta cephalotes (Leaf-cutter ant)
acgca000002075v2_eg_gene	"Aplysia californica (California sea hare, F4 #8) genes (AplCal3.0)"	AplCal3.0	"Aplysia californica (California sea hare, F4 #8)"
achristyi_eg_gene	"Anopheles christyi (Mosquito, ACHKN1017) genes (AchrA1)"	AchrA1	"Anopheles christyi (Mosquito, ACHKN1017)"
acngousso_eg_gene	"Anopheles coluzzii (Mosquito, Ngousso) genes (AcolN1)"	AcolN1	"Anopheles coluzzii (Mosquito, Ngousso)"
acoluzzii_eg_gene	"Anopheles coluzzii (Mosquito, Mali-NIH) genes (AcolM1)"	AcolM1	"Anopheles coluzzii (Mosquito, Mali-NIH)"
aculicifacies_eg_gene	"Anopheles culicifacies (Mosquito, A-37) genes (AculA1)"	AculA1	"Anopheles culicifacies (Mosquito, A-37)"
adarlingi_eg_gene	"Anopheles darlingi (American malaria mosquito, Coari) genes (AdarC3)"	AdarC3	"Anopheles darlingi (American malaria mosquito, Coari)"
adgca000469605v1rs_eg_gene	Apis dorsata (Giant honeybee) genes (Apis_dorsata_1.3)	Apis_dorsata_1.3	Apis dorsata (Giant honeybee)
adirus_eg_gene	"Anopheles dirus (Mosquito, WRAIR2) genes (AdirW1)"	AdirW1	"Anopheles dirus (Mosquito, WRAIR2)"
aegca000204515v1rs_eg_gene	Acromyrmex echinatior (Panamanian leaf-cutter ant) genes (Aech_3.9)	Aech_3.9	Acromyrmex echinatior (Panamanian leaf-cutter ant)
