	Proliferating_1	Proliferating_2	Senescent_1	Senescent_2
ENSG00000000003	245.7954	135.961	118.0778	234.3962
ENSG00000000005	0	0	0	0
ENSG00000000419	343.6698	210.2823	276.6637	421.7706
ENSG00000000457	118.2531	75.7881	80.5016	127.4811
ENSG00000000460	83.509	59.3278	14.3997	43.115
ENSG00000000938	0	0	0	0
ENSG00000000971	159.0188	93.1911	147.0099	192.8349
ENSG00000001036	944.7621	632.1996	780.2954	1275.0733
ENSG00000001084	328.5374	171.2198	409.9191	546.5717
ENSG00000001167	454.5677	286.6779	540.3364	826.5321
ENSG00000001460	127.8917	69.0872	100.6513	157.0856
ENSG00000001461	1694.0902	1243.9498	649.2728	849.2214
ENSG00000001497	295.6791	163.8861	170.5255	330.0461
ENSG00000001561	6.9891	5.937	8.8087	27.3639
ENSG00000001617	399.4728	283.7617	198.0816	364.2768
ENSG00000001626	48.1037	8.6699	0.3521	4.0876
ENSG00000001629	924.5129	534.0125	358.6084	677.9673
ENSG00000001630	754.3491	528.8016	722.3095	1195.2307
ENSG00000001631	231.7685	128.4707	155.9368	222.2855
ENSG00000002016	47.4256	30.073	28.803	45.9299
ENSG00000002330	244.7816	190.5227	159.3499	215.7726
ENSG00000002549	524.3579	359.4393	478.2726	756.3886
ENSG00000002586	2178.7164	1346.7392	929.6435	1435.5472
ENSG00000002587	19.5374	27.11	40.9784	22.8971
ENSG00000002726	0	0	0	3.727
ENSG00000002745	179.7564	132.5836	111.7484	115.7946
ENSG00000002746	8.5096	20.1603	19.8067	17.3357
ENSG00000002822	237.0586	195.7191	147.6557	200.4856
ENSG00000002834	8183.0999	5247.1072	2979.7905	5015.2603
ENSG00000002919	155.0912	96.308	102.0657	172.2201
ENSG00000002933	2.8583	4.677	0	1.3211
ENSG00000003056	747.3014	530.7086	892.4278	1833.0723
ENSG00000003096	62.7928	33.9421	4.3943	5.1813
ENSG00000003137	2.3968	0	114.2046	150.1492
ENSG00000003147	1.7529	3.4106	0.8426	6.4675
ENSG00000003249	176.5008	103.7275	271.3227	433.4167
ENSG00000003393	545.9003	311.9268	281.4833	443.2168
ENSG00000003400	1.1625	0.8327	8.4904	12.2818
ENSG00000003402	575.6015	382.2344	548.5761	964.0916
ENSG00000003436	849.1294	468.8068	810.376	1226.791
ENSG00000003509	100.8407	58.4077	99.8502	158.7942
ENSG00000003756	816.1251	362.3837	218.1554	634.3265
ENSG00000003987	10.1587	6.6229	8.0695	19.1678
ENSG00000003989	216.4926	137.0526	80.2454	189.8121
ENSG00000004059	623.0896	448.2936	290.1175	492.2375
ENSG00000004139	255.9917	192.9906	107.0928	174.9092
ENSG00000004142	891.1556	583.6046	651.8444	1158.0018
ENSG00000004399	1150.9458	802.8845	349.5047	593.042
ENSG00000004455	687.6353	440.741	500.9545	803.9679
ENSG00000004468	0.8736	0.8671	0	16.3063
ENSG00000004478	535.7827	335.1846	675.6459	1245.8154
ENSG00000004487	912.7511	552.0149	519.6854	858.7097
ENSG00000004534	554.6644	358.0971	218.4168	495.9573
ENSG00000004660	50.2854	45.3172	24.8575	43.7986
ENSG00000004700	956.6771	579.5032	753.1747	1310.3363
ENSG00000004766	193.3142	163.5968	161.7248	167.1808
ENSG00000004776	3482.7644	2262.5631	572.5585	1074.3235
ENSG00000004777	133.3827	64.827	16.8744	27.292
ENSG00000004779	417.4006	294.9693	308.8824	517.3367
ENSG00000004799	11.6169	1.4396	8.5373	13.0803
ENSG00000004809	2.9677	1.9643	1.9408	4.8206
ENSG00000004838	6.5999	2.753	1.2018	2.7242
ENSG00000004846	0.7242	2.9736	0	1.9847
ENSG00000004848	0	0	0	0
ENSG00000004864	141.3588	81.3117	140.4	295.012
