WT_1	WT_2	KO_1	KO_2
0610005C13Rik	0.67	0.38	0.17	0.53
0610007P14Rik	26.6	28.24	23.48	35.46
0610009B22Rik	45.69	50.99	35.57	37.41
0610009L18Rik	3	3.47	4.54	1.44
0610009O20Rik	34.17	31.7	27.26	27.11
0610010B08Rik	4.59	6.34	7.8	6.43
0610010F05Rik	23.61	21.93	18.07	20.06
0610010K14Rik	51.56	48.47	60.33	45.29
0610011F06Rik	29.64	28.39	22.92	20.96
0610012G03Rik	77.83	75.16	78.18	59.36
0610030E20Rik	12.75	12.23	12	13.3
0610031O16Rik	0	0	0	0.15
0610037L13Rik	20.72	18.61	25.92	22.05
0610038B21Rik	1.24	1.17	2.01	1.04
0610039H22Rik	0	0	0	0
0610039K10Rik	0.43	0	0.53	0.82
0610040B10Rik	5.75	8.71	6.28	4.89
0610040F04Rik	0.14	0	0.05	0
0610040J01Rik	0	0	0	0.06
0610043K17Rik	3.22	2.56	0.49	1.03
1010001N08Rik	4.84	3.59	2.75	2.52
1110001J03Rik	124.47	113.5	134.98	68.02
1110002L01Rik	2.96	4.09	2.97	4.98
1110004E09Rik	32.71	30.83	28.91	24.15
1110004F10Rik	89.49	93.68	54.42	96.8
1110006O24Rik	3.03	1.72	1.4	1.13
1110007C09Rik	70.08	57.32	57.06	64.85
1110008F13Rik	538.39	605.55	469.26	447.13
1110008L16Rik	8.79	9.54	6.88	9.35
1110008P14Rik	194.35	191.06	204.51	224.62
1110012L19Rik	30.77	28.17	25.46	24.71
1110015O18Rik	0	0	0	0
1110017D15Rik	0.14	0.34	0.18	0.19
1110019D14Rik	3.77	4.62	2.98	4.56
1110020A21Rik	1.36	0.9	0.68	1.15
1110025L11Rik	0	0	0	0
1110028F11Rik	0	0	0	0
1110028F18Rik	0	0	0	0
1110032A03Rik	27.56	25.37	16	20.64
1110032F04Rik	0	0.04	0	0
1110034G24Rik	3.34	3.78	4.62	4.65
1110036E04Rik	0	0	0	0
1110037F02Rik	24.08	22.18	21.91	26.79
1110038B12Rik	97.99	105.15	136.44	112.28
1110038F14Rik	23.2	23.31	29.04	23.55
1110046J04Rik	10.97	7.94	12.2	13.21
1110051M20Rik	4.78	5.39	5.15	6.81
1110058D11Rik	0	0	0	0
1110059E24Rik	30.45	35.39	29.26	37.44
1110059G10Rik	7.21	7.36	4.47	6.23
1110065P20Rik	46.25	52.85	63.5	44.19
1190002F15Rik	3.22	3.73	4.18	1.76
1190002N15Rik	21.69	25.29	22.22	25.03
1190003K10Rik	0	0	0	0
1190005I06Rik	8.65	7.31	10.59	4.08
1190007I07Rik	21.94	24.1	17.37	17.08
1200014J11Rik	11.83	10.57	10.96	11.57
1300002E11Rik	15.8	20.78	20.05	12.84
1300017J02Rik	0.05	0.14	0	0
1500004A13Rik	1.73	1.62	1.23	1.44
1500009C09Rik	0	0	0.06	0
1500009L16Rik	1.15	0.98	0.87	1.3
1500011B03Rik	14.54	10.19	15.19	12.77
1500011K16Rik	42.16	40.82	68.64	39.33
1500012F01Rik	143.55	136.54	241.76	149.01
1500012K07Rik	0	0	0	0
1500015A07Rik	1.5	1.17	1.24	1.19
1500015L24Rik	0	0.14	0	0
1500015O10Rik	10.62	12.97	24.66	20.21
1500017E21Rik	0	0.21	0.11	0.31
1500026H17Rik	0.08	0.2	0.24	0.11
1600002D24Rik	0	0	0	0
1600002H07Rik	5.53	3.66	4.57	4.38
1600002K03Rik	17.21	15.54	19.16	15.13
1600010M07Rik	0.43	0.18	0.98	0
1600012H06Rik	33.03	35.94	30.89	38.64
1600014C10Rik	78	80.21	75.68	63.65
1600014C23Rik	0.26	0.45	1.2	1.26
1600014K23Rik	0	0	0	0
1600015I10Rik	0	0	0	0
1600019K03Rik	0	0	0	0
1600020E01Rik	9.21	8.62	9.39	7.59
1600023N17Rik	0.13	0.11	0	0.12
1600025M17Rik	0	0	0.19	0
1600027J07Rik	0	0.24	0	0
1600029I14Rik	0	0	0	0
1600029O15Rik	0.81	0.52	0.56	0.58
1700001C02Rik	0	0.16	0	0.18
1700001C19Rik	0.08	0.13	0.23	0.29
1700001D01Rik	0	0	0	0
1700001F09Rik	0	0	0	0
1700001G01Rik	0	0	0	0
1700001G11Rik	2.36	1.58	0.52	0.65
1700001G17Rik	0.86	0.12	0.98	0.41
