Gene	Group
Ackr3	day0:day1:day5
Acta1	day0:day1:day5
Actc1	day0:day1:day5
Actn2	day0:day1:day5
Actn3	day0:day1:day5
Adamts5	day0:day1:day5
Ampd3	day0:day1:day5
Anxa8	day0:day1:day5
Atp2a1	day0:day1:day5
Bmp1	day0:day1:day5
C1qa	day0:day1:day5
C1qc	day0:day1:day5
C1qtnf3	day0:day1:day5
Cacna1s	day0:day1:day5
Car12	day0:day1:day5
Casq2	day0:day1:day5
Cav3	day0:day1:day5
Cd163	day0:day1:day5
Cd44	day0:day1:day5
Cdh1	day0:day1:day5
Cfb	day0:day1:day5
Ch25h	day0:day1:day5
Chrna1	day0:day1:day5
Chrng	day0:day1:day5
Cilp	day0:day1:day5
Cldn4	day0:day1:day5
Col17a1	day0:day1:day5
D17H6S56E-5	day0:day1:day5
Des	day0:day1:day5
Dsc3	day0:day1:day5
Dsg2	day0:day1:day5
Dsg3	day0:day1:day5
Dsp	day0:day1:day5
Eng	day0:day1:day5
Eno3	day0:day1:day5
Epcam	day0:day1:day5
F13a1	day0:day1:day5
Fam102b	day0:day1:day5
Fcgr2b	day0:day1:day5
Gpr137b-ps	day0:day1:day5
H19	day0:day1:day5
Hist1h2ap	day0:day1:day5
Igf2	day0:day1:day5
Inhba	day0:day1:day5
Irf6	day0:day1:day5
Itga5	day0:day1:day5
Itgb1bp2	day0:day1:day5
Itgb4	day0:day1:day5
Itgb6	day0:day1:day5
Krt14	day0:day1:day5
Krt17	day0:day1:day5
Krt18	day0:day1:day5
Krt5	day0:day1:day5
Krt6a	day0:day1:day5
Krt7	day0:day1:day5
Krt8	day0:day1:day5
Lama3	day0:day1:day5
Lamc2	day0:day1:day5
Lcn2	day0:day1:day5
Ldb3	day0:day1:day5
Lmod2	day0:day1:day5
Loxl1	day0:day1:day5
Loxl3	day0:day1:day5
Lrrc32	day0:day1:day5
Lsp1	day0:day1:day5
Mb	day0:day1:day5
Medag	day0:day1:day5
Mrc1	day0:day1:day5
Mybph	day0:day1:day5
Myh1	day0:day1:day5
Myh3	day0:day1:day5
Myh7	day0:day1:day5
Myh8	day0:day1:day5
Myl1	day0:day1:day5
Myl4	day0:day1:day5
