WT_1	WT_2	KO_1	KO_2
1500017E21Rik	0	0	13.4698062626068	11.2031570768731
A2m	234.805111158479	213.238773412169	407.686136214899	354.427151159258
Ablim3	46.7532300979272	27.3113699936769	105.064488848333	102.865351342198
Ackr3	521.558255759099	485.302036041489	695.04200315051	678.300237563408
Acta1	285.714183931777	258.407577632481	1871.40508341817	1973.79258318001
Actc1	85.1947748451117	86.135859210827	593.569462638872	547.936227941612
Actg1	13113.7615621341	12481.2960871103	16051.5191296064	14170.9752334193
Actn2	42.5973874225559	31.5131192234733	219.108848538404	240.358642740187
Actn3	157.92202166411	158.616033424816	387.032433278902	404.332123592602
Adam8	1254.02552729329	1193.29678126219	1695.39961492011	1792.5051322997
Adamts5	3880.51809812795	3826.74311103711	4355.23735824286	4398.76685591045
Adgrg1	93.5064601958543	85.0854219033779	188.577287676495	158.881136726564
Aif1l	42.5973874225559	38.8661803756171	223.598783959273	197.582952083035
Akap2	2805.19380587563	2766.85186782096	3263.28506388754	3164.38263980407
Akap6	21.8181740456993	7.35306115214377	64.6550700605125	77.4036307129414
Alpk3	35.3246627406561	27.3113699936769	86.2067600806834	97.7730072163471
Amd1	0	0	624.999010584955	0
Ampd3	2272.20698275926	2069.36149567475	2549.38533196938	2717.27482555431
Ankrd1	39.4805054160274	25.2104953787786	263.110215662919	293.319021649041
Anxa8	2.07792133768565	3.15131192234733	79.0228634072931	66.2004736360683
Apln	2545.45363866492	2580.92446440246	3569.4986595908	3212.25067458707
Apoe	1962.5967034441	2102.97548951312	3252.50921887745	3035.03709900744
Arpp21	6.23376401305696	1.05043730744911	41.3074058719941	47.8680347830032
Asb5	22.8571347145422	24.1600580713295	111.350398437549	95.7360695660065
Aspn	340.779099380447	402.317488753009	479.525102948801	578.49029269672
Atp2a1	82.0778928385832	71.4297369065395	380.746523689685	406.369061242943
Atp6v0d2	151.688257651053	176.473467651451	254.130344821181	259.709550418422
Axl	4898.69955359392	4605.1171558569	5619.60317275955	5447.78974583584
B2m	9301.81486814982	9596.79524085507	11593.0132566836	12102.4650494985
B3gnt3	114.285673572711	127.102914201342	222.700796875099	221.007735061951
Bcl2a1b	50.9090727732985	66.1775503692939	113.146372605897	113.050039593901
Bex1	16.6233707014852	18.907871534084	72.7369538180766	47.8680347830032
Bhlhe41	46.7532300979272	33.6139938383715	110.452411353376	68.2374112864089
Bmp1	13872.2028503894	13346.8564284484	15160.715942106	15033.6183283385
Bnip3	1841.03830518949	1937.00639493616	2508.97591318156	2333.31207846512
Bst1	86.2337355139545	80.8836726735815	170.617545993019	159.899605551734
C1qa	410.389464192916	372.905244144434	805.494414503886	736.352960598114
C1qb	305.454436639791	316.181629542182	655.530571446863	571.361010920528
C1qc	307.532357977476	335.089501076266	674.388300214513	616.173639228021
C1qtnf3	75.8441288255263	69.3288622916413	233.476641885184	311.651460502106
C3	1746.49288432479	1659.69094576959	2160.55692452213	2136.74759520725
Cacna1s	21.8181740456993	14.7061223042875	122.126243447635	99.8099448666876
Cacng1	10.3896066884283	7.35306115214377	79.0228634072931	76.3851618877711
