	day0-WT_1	day0-WT_2	day1-WT_1	day1-WT_2	day0-KO_1	day0-KO_2	day1-KO_1	day1-KO_2
0610005C13Rik	0.31	0.21	0.69	0.57	0.14	0	0.29	0.57
0610007P14Rik	69.65	61.13	149.55	133.49	79.6	74.21	125.7	125.15
0610009B22Rik	31.12	25.99	46.6	47.13	33.63	29.9	47.84	46.22
0610009L18Rik	3.35	4.57	2.43	1.09	3.44	4.47	1.66	1.98
0610009O20Rik	20.81	20.43	19.64	19.39	19.98	20.34	19.9	19.64
0610010B08Rik	17.94	8.04	7.75	4.96	10.1	8.26	9.89	8.57
0610010F05Rik	18.32	15.98	10.21	9.82	18.09	17.19	11.15	11.35
0610010K14Rik	69.85	76.31	70.56	76.38	65.76	68.85	92.64	70.18
0610011F06Rik	7.57	6.32	11.27	13.27	8.74	11.24	12.01	8.78
0610012G03Rik	29.58	34.81	25.68	23.3	29.77	32.95	26.7	25.74
0610030E20Rik	10.54	10.54	10.3	10.43	11.38	11.35	9.88	9.88
0610031O16Rik	0	0	0	0	0	0	0	0
0610037L13Rik	35.24	42.02	20.95	21.95	34.58	33.23	23.21	20.86
0610038B21Rik	1.49	1.96	1.17	1.19	1.56	1.36	1.44	1.51
0610039H22Rik	0	0.17	0	0	0	0	0	0
0610039K10Rik	0.39	0.26	0.59	0.15	0.72	0.3	0.37	0.15
0610040B10Rik	2.05	1.18	5.27	3.26	2.88	1	3.02	3.6
0610040F04Rik	0	0.15	0	0	0	0.17	0	0
0610040J01Rik	0.12	0.06	0	0	0.07	0.14	0.11	0.2
0610043K17Rik	1.18	0	1.55	0.22	0.43	1.12	0.37	0.88
1010001N08Rik	3.06	4.58	6	4.16	2.51	1.84	4.28	5.15
1110001J03Rik	37.74	39.86	17.07	25.67	27.78	29.54	30.42	18.62
1110002L01Rik	6.95	4.63	13.51	12.58	11.3	9.38	12.75	14.6
1110004E09Rik	29.47	27.45	14.7	17.52	25.28	27.29	16.53	15.63
1110004F10Rik	114.53	120.4	134.11	133.87	154.68	160.07	132.09	139.02
1110006O24Rik	2.78	1.56	2.26	1.2	1.69	1.93	2.03	2.07
1110007C09Rik	32.05	39.17	28.04	28.75	49.75	49.88	33.06	36.13
1110008F13Rik	233.31	226.06	241.61	254.79	227.25	230.99	250.11	256.16
1110008L16Rik	5.78	5.19	8.56	8.46	6.99	7.45	6.55	7.77
1110008P14Rik	17.68	27.13	36.15	34.36	25.72	26.32	36.39	34.75
1110012L19Rik	24.68	30.52	40.18	42.57	24.31	22.8	38.97	39.02
1110015O18Rik	0	0	0	0	0	0	0	0
1110017D15Rik	0.41	0	0.23	0.37	0	0	0.41	1.16
1110019D14Rik	2.56	2.43	5.92	4.52	2.8	3.08	3.81	5.72
1110020A21Rik	0	0.42	0.31	0.15	0.15	0.31	0	1.23
1110025L11Rik	0	0	0	0	0	0	0	0
1110028F11Rik	0.04	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0
1110032A03Rik	4.34	5.9	14.38	15.36	6.38	6.27	15.95	15.37
1110032F04Rik	0.09	0	0	0	0.09	0.1	0	0.1
1110034G24Rik	4.84	3.88	2.33	3.16	4.44	3.05	2.59	2.49
1110036E04Rik	0	0	0	0	0	0	0	0
1110037F02Rik	33.39	27.07	29.31	29	32.69	30.61	26.1	28.02
1110038B12Rik	194.66	209.77	232.2	230.29	155.56	160.81	215.29	223.98
1110038F14Rik	48.55	46.97	32.79	37.28	34.67	39.64	36.78	35.83
1110046J04Rik	15.42	19.26	13.36	9.67	18.83	20.1	13.87	13.3
1110051M20Rik	13.35	15.63	15.23	14.08	13.28	13.81	15.31	14.97
1110058D11Rik	0	0.37	0	0.2	0.2	0.21	0	0
1110059E24Rik	36.15	37.2	29.88	33.72	39.97	37.59	31.56	34.52
1110059G10Rik	6.07	6.85	6.48	6.53	6.91	7.37	7.59	7.73
1110065P20Rik	54	47.57	42.91	40.14	41.38	46.29	47.67	39.68
1190002F15Rik	27.26	31.31	30.58	30.98	18.45	19.66	31.67	30.21
1190002N15Rik	28.46	23.92	25.35	26.94	27.65	28.87	25.19	27.24
1190003K10Rik	0	0	0	0	0	0	0	0
1190005I06Rik	0	0.21	0	0.25	0	0	0	1.43
1190007I07Rik	4.46	4.66	5.9	5.75	7.3	5.06	5.7	4.02
1200014J11Rik	16.68	14.4	12.31	12.65	16.94	14.76	12.69	12.16
1300002E11Rik	14	13.89	14.83	16.83	8.55	11.46	17.47	14.11
1300017J02Rik	0.15	0.1	0.11	0.05	0	0	0.18	0.33
1500004A13Rik	2.18	1.75	2.62	2.85	2.24	2.08	2.4	3.13
1500009C09Rik	0	0	0.08	0	0	0	0.07	0
1500009L16Rik	1.72	2.71	1.83	3.09	1.46	1.96	1.44	1.39
1500011B03Rik	15	14.71	16.67	18.03	10.72	11.57	16.85	16.19
1500011K16Rik	32.62	26.46	24.18	26.86	23.68	23.3	26.61	25.05
1500012F01Rik	164.41	158.56	245	245.29	114.68	119.56	230.49	209.24
1500012K07Rik	0	0	0	0	0	0	0	0
1500015A07Rik	2.64	2.54	2.02	2.13	2.36	2.72	1.69	1.81
1500015L24Rik	0	0	0	0	0	0.17	0	0
1500015O10Rik	1.19	1.6	5.62	4.54	1.15	0.15	5.44	4.57
1500017E21Rik	0.11	0	0	0	0.54	0.13	0.57	0.5
1500026H17Rik	0.04	0	0.08	0	0.04	0.08	0.07	0.04
1600002D24Rik	0	0	0	0	0	0	0	0
1600002H07Rik	10.32	10.94	11.64	9.56	10.7	10.12	11.42	12.8
1600002K03Rik	30.14	32.86	23.17	22.32	24.97	23.85	26.14	22.02
1600010M07Rik	0.59	0.4	0	0.44	1.08	0.22	0.19	0
1600012H06Rik	36.46	34.27	39.3	39.32	40.66	35.62	38.19	40.13
1600014C10Rik	20.55	19.12	25.52	25.9	17.01	18.42	24.08	25.96
1600014C23Rik	0	0	0.54	0.27	0.26	0.55	0	0
1600014K23Rik	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0
1600019K03Rik	0.27	0	0	0	0	0	0	0
1600020E01Rik	7.01	7.54	11.63	14.29	5.29	4.79	11.39	13.79
1600023N17Rik	0.34	0	0.26	0.13	0.25	0.26	0	0.51
1600025M17Rik	0	0	0	0	0	0	0	0
1600027J07Rik	0.26	0.52	0	0.29	0	0	0	0.58
1600029I14Rik	0	0	0	0	0	0	0	0.15
1600029O15Rik	0.06	0	0	0.07	0	0	0	0
1700001C02Rik	0	0	0	0	0	0.19	0	0
1700001C19Rik	0	0.09	0.19	0.08	0.09	0.08	0.08	0.09
1700001D01Rik	0	0	0	0	0	0	0.2	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0.07	0
1700001G11Rik	1.4	0.31	1.23	2.44	0.34	0.53	3.07	1.92
1700001G17Rik	0.13	0.13	0.44	0.44	0.43	0.6	0.49	0.15
1700001J03Rik	0	0	0.17	0.17	0	0	0.43	0.68
1700001J11Rik	0.09	0	0.13	0.05	0	0	0	0
1700001K19Rik	0.61	0.49	0.27	0.14	0.53	0.14	0.34	0.27
1700001K23Rik	0	0	0.29	0.58	0	0	0.24	0.29
1700001L05Rik	0.67	0.68	1.1	0.92	0.99	0.76	1.8	1.54
1700001L19Rik	0.06	0.06	0.07	0	0	0.14	0.17	0.28
1700001O22Rik	0.63	0.56	0.53	0.95	0.43	0.28	0.59	0.54
1700001P01Rik	0	0.2	0	0	0	0	0	0
1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	0	0
1700003E16Rik	0.81	1.43	0.37	0.9	0.47	0.92	0.76	0.3
1700003E24Rik	0	0.25	0	0	0	0	0	0
1700003F12Rik	7.49	10.68	0.37	0.72	6.93	4.62	1.68	0.91
1700003G13Rik	0	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	0	0.22
1700003H04Rik	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0
1700003M02Rik	0	0.07	0	0	0	0	0.06	0
1700003M07Rik	0.31	0.36	0.06	0	0.25	0.06	0	0
1700003P14Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0
1700007B14Rik	0.05	0	0.06	0	0.06	0.06	0.1	0
1700007F19Rik	0	0	0	0	0	0	0	0
1700007G11Rik	0	0.28	0	0	0	0	0.26	0
1700007J10Rik	0.42	0.21	0.36	0.12	0.35	0.49	0.2	0
1700007K09Rik	0.36	0.18	0	0	0.39	0.61	0.5	0.6
1700007K13Rik	0.74	1.48	1.81	0.65	0.64	0.17	1.52	1.31
1700007L15Rik	2.39	3.54	7.87	7.97	1.57	2.53	7.62	6.41
1700007P06Rik	0	0	0	0	0	0.16	0	0
1700008C04Rik	0	0	0	0	0	0	0	0
1700008J07Rik	1.57	2.28	1.85	1.98	2.13	1.17	1.43	1.86
1700008K24Rik	0	0	0	0	0	0	0	0
1700008O03Rik	0.26	0.78	0.29	0.43	0.28	0.29	0.12	0.43
1700008P02Rik	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0.17	0	0	0	0	0
1700009J07Rik	0.13	0	0	0	0	0	0	0
1700009N14Rik	2.53	2.64	0	0	3.45	3.18	0	0
1700010B08Rik	0	0	0	0	0	0.15	0	0
1700010D01Rik	0	0	0	0.28	0	0	0	0.28
1700010I02Rik	0	0	0	0	0	0	0	0
1700010I14Rik	1.37	1.74	0.73	1.19	2.79	2.3	1.45	1.26
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	0	0.27	0	0	0	0	0	0
1700011A15Rik	0.13	0.26	0	0	0.28	0.15	0	0
1700011B04Rik	0	0	0	0	0	0	0	0
1700011C11Rik	0	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0.15	0	0	0
1700011H14Rik	0	0	0	0	0	0	0	0
1700011I03Rik	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	0.13	0	0	0.14	0	0.15	0
1700012B09Rik	0.18	0	0	0	0	0	0.16	0
1700012C14Rik	0	0	0	0	0	0	0	0
1700012D01Rik	1.9	1.57	3.1	1.54	1.32	1.37	2.91	2.51
1700012D14Rik	0.39	0.39	0.43	0.86	0.63	0.22	0.54	1.3
1700012D16Rik	0	0	0	0	0	0	0	0
1700012H19Rik	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0	0	0
1700012L04Rik	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013F07Rik	0	0.21	0	0	0	0	0	0.23
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700015E13Rik	0	0	0	0.37	0	0	0.16	0
1700015F17Rik	0.34	0	0.19	0	0	0.19	0.16	0
1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	0
1700016D06Rik	0	0	0	0	0	0	0	0
1700016G22Rik	0.21	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0.17	0.14	0
1700016K19Rik	0.25	0	0	0	0	0.14	0	0
1700016L04Rik	0.13	0	0	0	0	0	0.12	0
1700016L21Rik	0	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0
1700017B05Rik	25.5	26.65	42.63	40.42	38.68	37.46	37.57	39.46
1700017D01Rik	0	0	0	0	0.1	0	0	0
1700017G19Rik	0.05	0	0.05	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0.48	0	0	0
1700017N19Rik	0.07	0	0	0	0.07	0	0	0
1700018A04Rik	0	0	0	0	0	0.19	0	0
1700018B08Rik	0	0	0	0.12	0	0	0.1	0
1700018B24Rik	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700018L02Rik	2.58	3.16	1.66	2.68	2.06	1.23	2.2	2.6
1700019A02Rik	0	0	0	0	0	0	0	0
1700019B03Rik	0	0	0.08	0	0	0	0	0.08
1700019B21Rik	0	0	0	0	0	0	0	0
1700019C18Rik	0	0	0	0	0	0	0	0
1700019D03Rik	1.13	2.14	2.38	1.41	2.77	4.01	1.19	3.31
1700019E08Rik	0	0	0	0	0	0	0	0
1700019G17Rik	0.82	0.9	1.36	1.67	0.82	0.69	1.01	1.59
1700019G24Rik	0	0	0	0	0	0	0	0
1700019L03Rik	1.85	1.86	1.83	1.23	1.95	1.64	1.09	1.06
1700019M22Rik	0	0	0	0	0	0	0	0
1700019N19Rik	0	0.13	0	0	0	0	0.12	0
1700019O17Rik	0	0	0	0	0	0	0	0.07
1700020A23Rik	0.71	0.48	0.38	0.26	0.26	0.27	0.22	0.27
1700020D05Rik	0.8	1.38	1.91	2.14	0.62	0.39	0.64	1.14
1700020D14Rik	0	0	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0	0	0
1700020I14Rik	54.87	46.52	55.33	50.79	50.5	44.18	57.99	54.94
1700020L24Rik	8.14	8.59	12.08	16.69	6.97	8.81	10.56	12.17
1700020M21Rik	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	0	0
1700021F05Rik	34.13	46.14	34.78	37.19	33.69	35.03	35.02	33.31
1700021F07Rik	0	0	0	0	0	0	0	0
1700021K19Rik	18.59	17.33	12.44	11.5	19.53	19.14	12.66	13.93
1700021N21Rik	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0
1700022H01Rik	0.18	0	0.2	0.39	0.19	0	0.16	0
1700022H16Rik	0	0	0	0	0	0	0	0
1700022I11Rik	0	0.06	0.13	0.1	0.03	0	0.11	0.1
1700023C21Rik	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	0.11	0.11	0	0	0.09	0.11
1700024B18Rik	0	0	0	0	0	0	0	0
1700024F13Rik	0	0.18	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0
1700024I08Rik	0	0	0	0	0	0	0	0
1700024N05Rik	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0
1700024P16Rik	5.34	4.33	1.49	1.05	4.85	3.9	1.38	1.37
1700025B11Rik	0	0	0	0	0	0	0	0.25
1700025C18Rik	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0
1700025G04Rik	5.37	4.41	6.26	6.48	5.08	3.84	5.84	6.31
1700025J12Rik	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0
1700025N23Rik	0	0	0	0.14	0	0	0	0.14
1700026D08Rik	0	0.18	0	0	0	0	0.08	0
1700026D11Rik	0	0	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0	0.14	0
1700026L06Rik	0.36	0.18	0.2	0.2	0	0.41	0	0
1700027A15Rik	0	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0.1	0
