WT_1	WT_2	KO_1	KO_2
0610005C13Rik	3	2	1	0
0610007P14Rik	721	627	755	677
0610009B22Rik	209	173	207	177
0610009L18Rik	17	23	16	20
0610009O20Rik	451.74	439.46	397.5	389.18
0610010B08Rik	746.52	331.45	385.04	302.77
0610010F05Rik	694	600	628	574
0610010K14Rik	469	509	398	411
0610011F06Rik	52	43	55	68
0610012G03Rik	385	449	355	378
0610030E20Rik	448	444	443	425
0610031O16Rik	0	0	0	0
0610037L13Rik	485	573	436	403
0610038B21Rik	20.08	26.24	19.24	16.19
0610039H22Rik	0	1	0	0
0610039K10Rik	3.17	2.1	5.41	2.19
0610040B10Rik	7	4	9	3
0610040F04Rik	0	1	0	1
0610040J01Rik	2	1	1	2
0610043K17Rik	6	0	2	5
1010001N08Rik	17	26	13	9
1110001J03Rik	129	135	87	89
1110002L01Rik	208.91	138.01	311.28	248.64
1110004E09Rik	299	276	235	244
1110004F10Rik	1415	1474	1751	1743
1110006O24Rik	18	10	10	11
1110007C09Rik	218	264	310	299
1110008F13Rik	2121.5	2036.96	1893.38	1851.23
1110008L16Rik	163.85	145.93	181.5	186.27
1110008P14Rik	96	146	128	126
1110012L19Rik	226	277	204	184
1110015O18Rik	0	0	0	0
1110017D15Rik	4	0	0	0
1110019D14Rik	34	32	34	36
1110020A21Rik	0	3	1	2
1110025L11Rik	0	0	0	0
1110028F11Rik	1	0	0	0
1110028F18Rik	0	0	0	0
1110032A03Rik	69	93	93	88
1110032F04Rik	2	0	2	2
1110034G24Rik	63	50	53	35
1110036E04Rik	0	0	0	0
1110037F02Rik	2191	1760	1965	1770
1110038B12Rik	831	872	614	617
1110038F14Rik	460	441	301	331
1110046J04Rik	101	125	113	116
1110051M20Rik	237	275	216	216
1110058D11Rik	0	2	1	1
1110059E24Rik	456	465	462	418
1110059G10Rik	186	208	194	199
1110065P20Rik	346.08	302.11	242.99	261.47
1190002F15Rik	129	147	80	82
1190002N15Rik	1028	856	915	919
1190003K10Rik	0	0	0	0
1190005I06Rik	0	1.3	0	0
1190007I07Rik	28	29	42	28
1200014J11Rik	965	826	898	753
1300002E11Rik	104	109	79	74
1300017J02Rik	3	2	0	0
1500004A13Rik	72.14	57.58	68.07	60.83
1500009C09Rik	0	0	0	0
1500009L16Rik	18	28	14	18
1500011B03Rik	143	141	102	101
1500011K16Rik	224	180	149	141
1500012F01Rik	1017	971.91	650	651.86
1500012K07Rik	0	0	0	0
1500015A07Rik	44	42	36	40
1500015L24Rik	0	0	0	1
1500015O10Rik	9	12	8	1
1500017E21Rik	2.66	0	11.85	2.7
1500026H17Rik	1	0	1	2
1600002D24Rik	0	0	0	0
1600002H07Rik	199	209	189	172
1600002K03Rik	162	175	123	113
1600010M07Rik	3	2	5	1
1600012H06Rik	861.99	801.01	870.67	737.26
1600014C10Rik	598	551	453	471
1600014C23Rik	0	0	1	2
1600014K23Rik	0	0	0	0
1600015I10Rik	0	0	0	0
1600019K03Rik	1	0	0	0
1600020E01Rik	34	36	23	20
1600023N17Rik	3	0	2	2
1600025M17Rik	0	0	0	0
1600027J07Rik	1	2	0	0
1600029I14Rik	0	0	0	0
1600029O15Rik	1	0	0	0
1700001C02Rik	0	0	0	1
1700001C19Rik	0	1	1	1
1700001D01Rik	0	0	0	0
1700001F09Rik	0	0	0	0
1700001G01Rik	0	0	0	0
1700001G11Rik	9.04	2.02	2.01	3.01
1700001G17Rik	1	1	3	4
1700001J03Rik	0	0	0	0
1700001J11Rik	2.01	0	0	0
1700001K19Rik	5	4	4	1
1700001K23Rik	0	0	0	0
1700001L05Rik	37	37	50	37
1700001L19Rik	1	1	0	2
1700001O22Rik	8	7	5	3
1700001P01Rik	0	1	0	0
1700003C15Rik	0	0	0	0
1700003D09Rik	0	0	0	0
1700003E16Rik	15	26	8	15
1700003E24Rik	0	1	0	0
1700003F12Rik	46	65	39	25
1700003G13Rik	0	0	0	0
1700003G18Rik	0	0	0	0
1700003H04Rik	0	0	0	0
1700003I22Rik	0	0	0	0
1700003L19Rik	0	0	0	0
1700003M02Rik	0	1	0	0
1700003M07Rik	6	7	4	1
1700003P14Rik	0	0	0	0
1700006A11Rik	0	0	0	0
1700006E09Rik	0	0	0	0
1700006F04Rik	0	0	0	0
1700006H21Rik	0	0	0	0
1700007B14Rik	1	0	1	1
1700007F19Rik	0	0	0	0
1700007G11Rik	0	2	0	0
1700007J10Rik	4.1	2.04	3.09	4.15
1700007K09Rik	2	1	2	3
1700007K13Rik	5	10	4	1
1700007L15Rik	15	22	9	14
1700007P06Rik	0	0	0	1
1700008C04Rik	0	0	0	0
1700008J07Rik	34.43	49.61	42.94	22.68
1700008K24Rik	0	0	0	0
1700008O03Rik	2	6	2	2
1700008P02Rik	0	0	0	0
1700009C05Rik	0	0	0	0
1700009J07Rik	1	0	0	0
1700009N14Rik	28	29	35	31
1700010B08Rik	0	0	0	1
1700010D01Rik	0	0	0	0
1700010I02Rik	0	0	0	0
1700010I14Rik	23	29	43	34
1700010J16Rik	0	0	0	0
1700010K23Rik	0	0.75	0	0
1700011A15Rik	1	2	2	1
1700011B04Rik	0	0	0	0
1700011C11Rik	0	0	0	0
1700011E24Rik	0	0	1	0
1700011H14Rik	0	0	0	0
1700011I03Rik	0	0	0	0
1700011L22Rik	0	0	0	0
1700011M02Rik	0	0	0	0
1700012A03Rik	0	0	0	0
1700012B07Rik	0	1	1	0
1700012B09Rik	1	0	0	0
1700012C14Rik	0	0	0	0
1700012D01Rik	11	9	7	7
1700012D14Rik	2	2	3	1
1700012D16Rik	0	0	0	0
1700012H19Rik	0	0	0	0
1700012I11Rik	0	0	0	0
1700012L04Rik	0	0	0	0
1700012P22Rik	0	0	0	0
1700013D24Rik	0	0	0	0
1700013F07Rik	0	1	0	0
1700013G24Rik	0	0	0	0
1700013H16Rik	0	0	0	0
1700015E13Rik	0	0	0	0
1700015F17Rik	2	0	0	1
1700015G11Rik	0	0	0	0
1700016C15Rik	0	0	0	0
1700016D06Rik	0	0	0	0
1700016G22Rik	1	0	0	0
1700016H13Rik	0	0	0	1
1700016K19Rik	2	0	0	1
1700016L04Rik	1	0	0	0
1700016L21Rik	0	0	0	0
1700016P04Rik	0	0	0	0
1700017B05Rik	1155	1196	1605	1495
1700017D01Rik	0	0	1	0
1700017G19Rik	1	0	0	0
1700017J07Rik	0	0	0	0
1700017L05Rik	0	0	2	0
1700017N19Rik	1	0	1	0
1700018A04Rik	0	0	0	1
1700018B08Rik	0	0	0	0
1700018B24Rik	0	0	0	0
1700018C11Rik	0	0	0	0
1700018F24Rik	0	0	0	0
1700018G05Rik	0	0	0	0
1700018L02Rik	28.18	34.26	20.6	11.86
1700019A02Rik	0	0	0	0
1700019B03Rik	0	0	0	0
1700019B21Rik	0	0	0	0
1700019C18Rik	0	0	0	0
1700019D03Rik	8	15	18	25
1700019E08Rik	0	0	0	0
1700019G17Rik	23	25	21	17
1700019G24Rik	0	0	0	0
1700019L03Rik	27.58	27.52	26.7	21.51
1700019M22Rik	0	0	0	0
1700019N19Rik	0	1	0	0
1700019O17Rik	0	0	0	0
1700020A23Rik	3	2	1	1
1700020D05Rik	7	12	5	3
1700020D14Rik	0	0	0	0
1700020G17Rik	0	0	0	0
1700020I14Rik	726	620	616	523
1700020L24Rik	65	68	51	62
1700020M21Rik	0	0	0	0
1700020N01Rik	0	0	0	0
1700020N15Rik	0	0	0	0
1700020N18Rik	0	0	0	0
1700021F05Rik	262	351	237	237
1700021F07Rik	0	0	0	0
1700021K19Rik	905	836	871	821
1700021N21Rik	0	0	0	0
1700022A21Rik	0	0	0	0
1700022A22Rik	0	0	0	0
1700022E09Rik	0	0	0	0
1700022H01Rik	1	0	1	0
1700022H16Rik	0	0	0	0
1700022I11Rik	0	2	1	0
1700023C21Rik	0	0	0	0
1700023F02Rik	0	0	0	0
1700023F06Rik	0	0	0	0
1700024B18Rik	0	0	0	0
1700024F13Rik	0	1	0	0
1700024G13Rik	0	0	0	0
1700024I08Rik	0	0	0	0
1700024N05Rik	0	0	0	0
1700024P04Rik	0	0	0	0
1700024P16Rik	150	121	125	98
1700025B11Rik	0	0	0	0
1700025C18Rik	0	0	0	0
1700025F22Rik	0	0	0	0
1700025F24Rik	0	0	0	0
1700025G04Rik	484	394	420	305
1700025J12Rik	0	0	0	0
1700025K24Rik	0	0	0	0
1700025M24Rik	0	0	0	0
1700025N23Rik	0	0	0	0
1700026D08Rik	0	2	0	0
1700026D11Rik	0	0	0	0
1700026F02Rik	0	0	0	0
1700026J14Rik	0	0	0	0
1700026L06Rik	2	1	0	2
1700027A15Rik	0	0	0	0
1700027F06Rik	0	0	0	0
1700027F09Rik	0	0	0	0
1700027H10Rik	0	0	0	0
1700027I24Rik	0	0	0	0
1700027J07Rik	0	0	0	0
1700028B04Rik	0	0	0	0
1700028D13Rik	0	0	0	0
1700028E10Rik	2	0	1	0
1700028I16Rik	1	1	6	3
1700028J19Rik	2	3	10	8
1700028K03Rik	15.43	10.39	6.23	12.25
1700028M03Rik	0	0	0	0
1700028P14Rik	0	0	0	0
1700028P15Rik	0	0	0	0
1700029B22Rik	0	0	0	0
1700029F12Rik	0	0	0	0
1700029H14Rik	4	4	0	0
1700029I15Rik	1	0	2	4
1700029J03Rik	0	0	0	0
1700029J07Rik	18	24	14	8
1700029M20Rik	0	0	0	0
1700029N11Rik	0	0	0	0
1700029P11Rik	0	0	0	0
1700030A11Rik	0	0	0	0
1700030C10Rik	57.02	68.19	58.32	60.7
1700030F04Rik	0	0	0	0
1700030F18Rik	0	1	1	0
1700030J22Rik	8	10	17	19
1700030K09Rik	150	131	136	128
1700030L20Rik	0	0	0	0
1700030M09Rik	0	0	0	0
1700030N03Rik	0	0	0	0
1700030O20Rik	0	0	0	0
1700031A10Rik	0	1	0	0
1700031F05Rik	0	0	0	0
1700031M16Rik	0	0	0	0
1700031P21Rik	0	0	0	0
1700034E13Rik	3	0	2	0
1700034G24Rik	0	0	0	0
1700034H15Rik	2.33	4.54	0	1.1
1700034I23Rik	0	0	2	3
1700034J05Rik	0	0	0	0
1700034K08Rik	0	0	0	0
1700034O15Rik	0	0	0	0
1700034P13Rik	24.79	25.99	13.44	13.7
1700036G14Rik	0	0	0	0
1700037C18Rik	27	30	18	20
1700037H04Rik	552	525	406	422
1700039E15Rik	0	0	0	0
1700039E22Rik	0	0	0	0
1700040L02Rik	0	0	2	0
1700041A01Rik	0	0	0	0
1700041C23Rik	0	0	0	0
1700041M19Rik	0	0	0	0
1700042G07Rik	0	0	0	0
1700042G15Rik	0	0	0	0
1700042O10Rik	1	1	2	1
1700044C05Rik	0	0	0	0
1700044K03Rik	0	0	0	0
1700045H11Rik	1	0	0	0
1700046C09Rik	0	0	0	0
1700047A11Rik	1	0	0	0
1700047E10Rik	0	0	0	0
1700047G03Rik	2	0	0	0
1700047I17Rik2	550.18	605.49	646.84	661.26
