Scientific_common_name	dataset	version	Classification	Taxon.ID	Assembly	Accession
Actinidia chinensis	achinensis_eg_gene	Red5_PS1_1.69.0	eudicotyledons	1590841	Red5_PS1_1.69.0	GCA_003024255.1
Aegilops tauschii	atauschii_eg_gene	Aet v4.0	Liliopsida	200361	Aet_v4.0	GCA_002575655.1
Amborella trichopoda	atrichopoda_eg_gene	AMTR1.0	Amborellales	13333	AMTR1.0	GCA_000471905.1
Ananas comosus	acomosus_eg_gene	F153	Liliopsida	4615	F153	GCA_902162155.1
Arabidopsis halleri	ahalleri_eg_gene	Ahal2.2	eudicotyledons	63677	Ahal2.2	GCA_900078215.1
Arabidopsis lyrata	alyrata_eg_gene	v.1.0	eudicotyledons	81972	v.1.0	GCA_000004255.1
Arabidopsis thaliana	athaliana_eg_gene	TAIR10	eudicotyledons	3702	TAIR10	GCA_000001735.1
Arabis alpina	aalpina_eg_gene	A_alpina_V4	eudicotyledons	50452	A_alpina_V4	GCA_000733195.1
Asparagus officinalis	aofficinalis_eg_gene	Aspof.V1	Liliopsida	4686	Aspof.V1	GCA_001876935.1
Beta vulgaris	bvulgaris_eg_gene	RefBeet-1.2.2	eudicotyledons	3555	RefBeet-1.2.2	GCA_000511025.2
Brachypodium distachyon	bdistachyon_eg_gene	Brachypodium_distachyon_v3.0	Liliopsida	15368	Brachypodium_distachyon_v3.0	GCA_000005505.4
Brassica napus	bnapus_eg_gene	AST_PRJEB5043_v1	eudicotyledons	3708	AST_PRJEB5043_v1	GCA_000751015.1
Brassica oleracea	boleracea_eg_gene	BOL	eudicotyledons	109376	BOL	GCA_000695525.1
Brassica rapa	brapa_eg_gene	Brapa_1.0	eudicotyledons	3711	Brapa_1.0	GCA_000309985.1
Brassica rapa R-o-18	brro18_eg_gene	SCU_BraROA_2.3	eudicotyledons	1813537	SCU_BraROA_2.3	GCA_017639395.1
Camelina sativa	csativa_eg_gene	Cs	eudicotyledons	90675	Cs	GCA_000633955.1
Cannabis sativa female	csfemale_eg_gene	cs10	eudicotyledons	3483	cs10	GCA_900626175.1
Capsicum annuum	cannuum_eg_gene	ASM51225v2	eudicotyledons	4072	ASM51225v2	GCA_000512255.2
Chara braunii	cbraunii_eg_gene	Cbr_1.0	Streptophyta	69332	Cbr_1.0	GCA_003427395.1
Chenopodium quinoa	cquinoa_eg_gene	ASM168347v1	eudicotyledons	63459	ASM168347v1	GCA_001683475.1
Chlamydomonas reinhardtii	creinhardtii_eg_gene	Chlamydomonas_reinhardtii_v5.5	Chlorophyta	3055	Chlamydomonas_reinhardtii_v5.5	GCA_000002595.3
Chondrus crispus	ccrispus_eg_gene	ASM35022v2	Rhodophyta	2769	ASM35022v2	GCA_000350225.2
Citrullus lanatus	clanatus_eg_gene	Cla97_v1	eudicotyledons	3654	Cla97_v1	GCA_000238415.2
Citrus clementina	cclementina_eg_gene	Citrus_clementina_v1.0	eudicotyledons	85681	Citrus_clementina_v1.0	GCA_000493195.1
Coffea canephora	ccanephora_eg_gene	AUK_PRJEB4211_v1	eudicotyledons	49390	AUK_PRJEB4211_v1	GCA_900059795.1
Corchorus capsularis	ccapsularis_eg_gene	CCACVL1_1.0	eudicotyledons	210143	CCACVL1_1.0	GCA_001974805.1
Corylus avellana	cavellana_eg_gene	CavTom2PMs-1.0	eudicotyledons	13451	CavTom2PMs-1.0	GCA_901000735.2
Cucumis melo	cmelo_eg_gene	Melonv4	eudicotyledons	3656	Melonv4	GCA_902497455.1
Cucumis sativus	csativus_eg_gene	ASM407v2	eudicotyledons	3659	ASM407v2	GCA_000004075.2
Cyanidioschyzon merolae	cmerolae_eg_gene	ASM9120v1	Rhodophyta	280699	ASM9120v1	GCA_000091205.1
Cynara cardunculus	ccardunculus_eg_gene	CcrdV1	eudicotyledons	59895	CcrdV1	GCA_001531365.1
Daucus carota	dcarota_eg_gene	ASM162521v1	eudicotyledons	79200	ASM162521v1	GCA_001625215.1
Dioscorea rotundata	drotundata_eg_gene	TDr96_F1_v2_PseudoChromosome	Liliopsida	55577	TDr96_F1_v2_PseudoChromosome	GCA_009730915.1
Eragrostis curvula	ecurvula_eg_gene	CERZOS_E.curvula1.0	Liliopsida	38414	CERZOS_E.curvula1.0	GCA_007726485.1
Eragrostis tef	etef_eg_gene	ASM97063v1	Liliopsida	110835	Salk_teff_dabbi_3.0	GCA_024500355.1
Eucalyptus grandis	egrandis_eg_gene	Egrandis1_0	eudicotyledons	71139	Egrandis1_0	GCA_000612305.1
Eutrema salsugineum	esalsugineum_eg_gene	Eutsalg1_0	eudicotyledons	72664	Eutsalg1_0	GCA_000478725.1
Ficus carica	fcarica_eg_gene	UNIPI_FiCari_1.0	eudicotyledons	3494	UNIPI_FiCari_1.0	GCA_009761775.1
Galdieria sulphuraria	gsulphuraria_eg_gene	ASM34128v1	Rhodophyta	130081	ASM34128v1	GCA_000341285.1
Glycine max	gmax_eg_gene	Glycine_max_v2.1	eudicotyledons	3847	Glycine_max_v2.1	GCA_000004515.4
Gossypium raimondii	graimondii_eg_gene	Graimondii2_0_v6	eudicotyledons	29730	Graimondii2_0_v6	GCA_000327365.1
Helianthus annuus	hannuus_eg_gene	HanXRQr2.0-SUNRISE	eudicotyledons	4232	HanXRQr2.0-SUNRISE	GCA_002127325.2
Hordeum vulgare	hvulgare_eg_gene	MorexV3_pseudomolecules_assembly	Liliopsida	112509	MorexV3_pseudomolecules_assembly	GCA_904849725.1
Hordeum vulgare GoldenPromise	hvgoldenpromise_eg_gene	GPv1	Liliopsida	112509	GPv1	GCA_902500625.1
